school_year,division_name,school_name,gender,total_count,total_count_stem,total_count_non_stem,pass_advanced_count,pass_advanced_count_stem,pass_advanced_count_non_stem,pass_proficient_count,fail_count,pass_count,pass_count_stem,pass_count_non_stem,year,test_level,test_source,school_level,CS_enrollment_rate,pass_advanced_rate,pass_advanced_rate_stem,pass_advanced_rate_non_stem,pass_rate,pass_rate_stem,pass_rate_non_stem
2021-2022,Middlesex County,Middlesex High,M,230,88,142,30,5,25,164,36,194,75,119,2022,EOC,SOL,High School,17.142857142857142,13.043478260869565,5.681818181818182,17.6056338028169,84.34782608695653,85.22727272727273,83.80281690140845
2021-2022,Montgomery County,Auburn High,F,277,139,138,26,4,22,191,60,217,114,103,2022,EOC,SOL,High School,7.471264367816093,9.386281588447654,2.877697841726619,15.942028985507244,78.33935018050542,82.01438848920863,74.63768115942028
2021-2022,Montgomery County,Auburn High,M,281,138,143,21,3,18,176,84,197,99,98,2022,EOC,SOL,High School,11.282051282051283,7.473309608540925,2.1739130434782608,12.587412587412588,70.1067615658363,71.73913043478261,68.53146853146853
2021-2022,Montgomery County,Blacksburg High,F,903,412,491,233,91,142,527,143,760,347,413,2022,EOC,SOL,High School,7.0287539936102235,25.802879291251386,22.0873786407767,28.920570264765782,84.1638981173865,84.22330097087378,84.11405295315683
2021-2022,Montgomery County,Blacksburg High,M,940,445,495,264,93,171,523,153,787,369,418,2022,EOC,SOL,High School,11.624441132637854,28.085106382978726,20.89887640449438,34.54545454545455,83.72340425531914,82.92134831460675,84.44444444444444
2021-2022,Montgomery County,Christiansburg High,F,777,370,407,101,19,82,496,180,597,285,312,2022,EOC,SOL,High School,1.4198782961460445,12.998712998713,5.135135135135135,20.14742014742015,76.83397683397683,77.02702702702703,76.65847665847666
2021-2022,Montgomery County,Christiansburg High,M,934,453,481,125,26,99,603,206,728,361,367,2022,EOC,SOL,High School,5.709342560553633,13.383297644539615,5.739514348785872,20.582120582120584,77.94432548179871,79.69094922737307,76.29937629937629
2021-2022,Montgomery County,Eastern Montgomery High,F,212,111,101,10,2,8,122,80,132,73,59,2022,EOC,SOL,High School,0.0,4.716981132075472,1.8018018018018018,7.920792079207921,62.264150943396224,65.76576576576578,58.415841584158414
2021-2022,Montgomery County,Eastern Montgomery High,M,232,113,119,11,2,9,134,87,145,76,69,2022,EOC,SOL,High School,1.3605442176870748,4.741379310344827,1.7699115044247788,7.563025210084033,62.5,67.2566371681416,57.98319327731093
2021-2022,Nelson County,Nelson County High,F,291,116,175,20,4,16,185,86,205,86,119,2022,EOC,SOL,High School,0.398406374501992,6.872852233676976,3.4482758620689653,9.142857142857142,70.44673539518901,74.13793103448276,68.0
2021-2022,Nelson County,Nelson County High,M,355,163,192,32,7,25,233,90,265,123,142,2022,EOC,SOL,High School,0.34602076124567477,9.014084507042254,4.294478527607362,13.020833333333334,74.64788732394366,75.4601226993865,73.95833333333334
2021-2022,New Kent County,New Kent High,F,727,290,437,126,15,111,502,99,628,250,378,2022,EOC,SOL,High School,0.2004008016032064,17.33149931224209,5.172413793103448,25.400457665903893,86.38239339752407,86.20689655172413,86.49885583524028
2021-2022,New Kent County,New Kent High,M,729,290,439,82,19,63,526,121,608,246,362,2022,EOC,SOL,High School,3.3868092691622103,11.248285322359397,6.551724137931035,14.350797266514807,83.40192043895748,84.82758620689656,82.46013667425967
2021-2022,Newport News City,Denbigh High,F,844,391,453,14,4,10,389,441,403,230,173,2022,EOC,SOL,High School,0.0,1.6587677725118484,1.0230179028132993,2.207505518763797,47.74881516587678,58.82352941176471,38.18984547461369
2021-2022,Newport News City,Denbigh High,M,1061,491,570,38,13,25,551,472,589,300,289,2022,EOC,SOL,High School,0.43668122270742354,3.581526861451461,2.6476578411405294,4.385964912280701,55.51366635249765,61.099796334012225,50.70175438596492
2021-2022,Newport News City,Heritage High,F,742,299,443,13,0,13,357,372,370,165,205,2022,EOC,SOL,High School,0.9416195856873822,1.7520215633423182,0.0,2.9345372460496613,49.865229110512125,55.18394648829431,46.27539503386004
2021-2022,Newport News City,Heritage High,M,837,329,508,25,1,24,407,405,432,202,230,2022,EOC,SOL,High School,3.125,2.986857825567503,0.303951367781155,4.724409448818897,51.61290322580645,61.39817629179332,45.2755905511811
2021-2022,Newport News City,Menchville High,F,1224,540,684,94,20,74,628,502,722,310,412,2022,EOC,SOL,High School,0.5128205128205128,7.6797385620915035,3.7037037037037033,10.818713450292398,58.98692810457516,57.407407407407405,60.23391812865497
2021-2022,Newport News City,Menchville High,M,1389,617,772,120,41,79,735,534,855,368,487,2022,EOC,SOL,High School,1.5334063526834611,8.639308855291576,6.645056726094004,10.233160621761659,61.55507559395248,59.643435980551054,63.082901554404145
2021-2022,Newport News City,Warwick High,F,1264,571,693,100,21,79,667,497,767,351,416,2022,EOC,SOL,High School,0.12135922330097086,7.9113924050632916,3.677758318739054,11.3997113997114,60.68037974683544,61.471103327495626,60.02886002886003
2021-2022,Newport News City,Warwick High,M,1188,568,620,84,31,53,566,538,650,312,338,2022,EOC,SOL,High School,0.6648936170212766,7.07070707070707,5.457746478873239,8.548387096774194,54.71380471380471,54.929577464788736,54.516129032258064
2021-2022,Newport News City,Woodside High,F,1377,596,781,127,15,112,851,399,978,418,560,2022,EOC,SOL,High School,,9.222948438634713,2.5167785234899327,14.340588988476313,71.0239651416122,70.13422818791946,71.70294494238156
2021-2022,Newport News City,Woodside High,M,1229,559,670,76,7,69,730,423,806,368,438,2022,EOC,SOL,High School,,6.183889340927584,1.2522361359570662,10.298507462686567,65.58177379983726,65.83184257602862,65.3731343283582
2021-2022,Norfolk City,Academy for Discovery at Lakewood,F,175,115,60,9,5,4,143,23,152,104,48,2022,EOC,SOL,High School,,5.142857142857142,4.3478260869565215,6.666666666666667,86.85714285714286,90.43478260869566,80.0
