school_year,division_name,school_name,gender,total_count,total_count_stem,total_count_non_stem,pass_advanced_count,pass_advanced_count_stem,pass_advanced_count_non_stem,pass_proficient_count,fail_count,pass_count,pass_count_stem,pass_count_non_stem,year,test_level,test_source,school_level,CS_enrollment_rate,pass_advanced_rate,pass_advanced_rate_stem,pass_advanced_rate_non_stem,pass_rate,pass_rate_stem,pass_rate_non_stem
2021-2022,Norfolk City,Academy for Discovery at Lakewood,M,165,106,59,14,2,12,140,11,154,100,54,2022,EOC,SOL,High School,,8.484848484848486,1.8867924528301887,20.33898305084746,93.33333333333333,94.33962264150944,91.52542372881356
2021-2022,Norfolk City,Booker T Washington High,F,624,312,312,11,0,11,267,346,278,136,142,2022,EOC,SOL,High School,19.28721174004193,1.7628205128205128,0.0,3.5256410256410255,44.55128205128205,43.58974358974359,45.51282051282051
2021-2022,Norfolk City,Booker T Washington High,M,642,321,321,5,1,4,227,410,232,128,104,2022,EOC,SOL,High School,20.0,0.778816199376947,0.3115264797507788,1.2461059190031152,36.13707165109034,39.875389408099686,32.398753894081
2021-2022,Norfolk City,Granby High,F,1144,511,633,86,22,64,599,459,685,303,382,2022,EOC,SOL,High School,11.666666666666666,7.517482517482517,4.305283757338552,10.110584518167457,59.87762237762237,59.295499021526425,60.34755134281201
2021-2022,Norfolk City,Granby High,M,1108,518,590,72,21,51,524,512,596,286,310,2022,EOC,SOL,High School,16.05667060212515,6.4981949458483745,4.054054054054054,8.64406779661017,53.79061371841155,55.21235521235521,52.54237288135594
2021-2022,Norfolk City,Lake Taylor,F,33,23,10,1,1,0,18,14,19,14,5,2022,EOC,SOL,High School,,3.0303030303030303,4.3478260869565215,0.0,57.57575757575758,60.86956521739131,50.0
2021-2022,Norfolk City,Lake Taylor,M,31,20,11,0,0,0,20,11,20,12,8,2022,EOC,SOL,High School,,0.0,0.0,0.0,64.51612903225806,60.0,72.72727272727273
2021-2022,Norfolk City,Lake Taylor High,F,641,280,361,12,2,10,253,376,265,124,141,2022,EOC,SOL,High School,10.161662817551962,1.87207488299532,0.7142857142857143,2.7700831024930745,41.34165366614664,44.285714285714285,39.05817174515235
2021-2022,Norfolk City,Lake Taylor High,M,707,301,406,19,6,13,289,399,308,134,174,2022,EOC,SOL,High School,11.02661596958175,2.6874115983026874,1.9933554817275747,3.201970443349754,43.56435643564357,44.518272425249165,42.857142857142854
2021-2022,Norfolk City,Matthew Fontaine Maury High,F,1024,451,573,125,16,109,575,324,700,325,375,2022,EOC,SOL,High School,13.520408163265307,12.20703125,3.5476718403547673,19.022687609075042,68.359375,72.06208425720621,65.44502617801047
2021-2022,Norfolk City,Matthew Fontaine Maury High,M,997,411,586,88,8,80,570,339,658,290,368,2022,EOC,SOL,High School,19.923857868020303,8.826479438314944,1.9464720194647203,13.651877133105803,65.99799398194584,70.55961070559611,62.79863481228669
2021-2022,Norfolk City,Norview High,F,1080,440,640,79,2,77,594,407,673,268,405,2022,EOC,SOL,High School,8.769931662870158,7.314814814814814,0.45454545454545453,12.03125,62.31481481481481,60.909090909090914,63.28125
2021-2022,Norfolk City,Norview High,M,1260,560,700,104,17,87,667,489,771,329,442,2022,EOC,SOL,High School,10.732714138286893,8.253968253968253,3.0357142857142856,12.428571428571429,61.1904761904762,58.75,63.142857142857146
2021-2022,Norfolk City,Southside STEM Academy at Campostella,F,23,23,,0,0,,8,15,8,8,,2022,EOC,SOL,High School,,0.0,0.0,,34.78260869565217,34.78260869565217,
2021-2022,Norfolk City,Southside STEM Academy at Campostella,M,25,25,,0,0,,6,19,6,6,,2022,EOC,SOL,High School,,0.0,0.0,,24.0,24.0,
2021-2022,Northampton County,Northampton High,F,238,140,98,12,1,11,163,63,175,105,70,2022,EOC,SOL,High School,,5.042016806722689,0.7142857142857143,11.224489795918368,73.52941176470588,75.0,71.42857142857143
2021-2022,Northampton County,Northampton High,M,273,159,114,16,4,12,150,107,166,98,68,2022,EOC,SOL,High School,,5.86080586080586,2.515723270440252,10.526315789473683,60.8058608058608,61.63522012578616,59.64912280701754
2021-2022,Northumberland County,Northumberland High,F,237,91,146,16,3,13,147,74,163,73,90,2022,EOC,SOL,High School,,6.751054852320674,3.296703296703297,8.904109589041095,68.77637130801688,80.21978021978022,61.64383561643836
2021-2022,Northumberland County,Northumberland High,M,284,110,174,24,6,18,171,89,195,90,105,2022,EOC,SOL,High School,,8.450704225352112,5.454545454545454,10.344827586206897,68.66197183098592,81.81818181818183,60.3448275862069
2021-2022,Norton City,J.I. Burton High,F,150,78,72,14,5,9,112,24,126,71,55,2022,EOC,SOL,High School,12.865497076023392,9.333333333333334,6.41025641025641,12.5,84.0,91.02564102564102,76.38888888888889
2021-2022,Norton City,J.I. Burton High,M,121,66,55,17,7,10,97,7,114,64,50,2022,EOC,SOL,High School,13.90728476821192,14.049586776859504,10.606060606060606,18.181818181818183,94.21487603305785,96.96969696969697,90.9090909090909
2021-2022,Nottoway County,Nottoway High,F,415,193,222,16,0,16,217,182,233,109,124,2022,EOC,SOL,High School,17.803030303030305,3.8554216867469884,0.0,7.207207207207207,56.144578313253014,56.476683937823836,55.85585585585585
2021-2022,Nottoway County,Nottoway High,M,446,183,263,22,0,22,201,223,223,89,134,2022,EOC,SOL,High School,21.73913043478261,4.932735426008969,0.0,8.365019011406844,50.0,48.63387978142077,50.950570342205324
2021-2022,Orange County,Orange County High,F,1049,444,605,78,20,58,678,293,756,348,408,2022,EOC,SOL,High School,4.421326397919375,7.435653002859867,4.504504504504505,9.586776859504132,72.06863679694948,78.37837837837837,67.43801652892562
2021-2022,Orange County,Orange County High,M,1022,429,593,116,32,84,612,294,728,327,401,2022,EOC,SOL,High School,12.78295605858855,11.350293542074363,7.459207459207459,14.165261382799327,71.23287671232876,76.22377622377621,67.62225969645868
2021-2022,Page County,Luray High,F,236,128,108,18,5,13,169,49,187,96,91,2022,EOC,SOL,High School,18.72340425531915,7.627118644067797,3.90625,12.037037037037036,79.23728813559322,75.0,84.25925925925925
2021-2022,Page County,Luray High,M,304,158,146,22,9,13,202,80,224,116,108,2022,EOC,SOL,High School,23.595505617977526,7.236842105263158,5.69620253164557,8.904109589041095,73.68421052631578,73.41772151898735,73.97260273972603
2021-2022,Page County,Page County High,F,275,144,131,20,11,9,178,77,198,111,87,2022,EOC,SOL,High School,23.134328358208954,7.2727272727272725,7.638888888888889,6.870229007633588,72.0,77.08333333333334,66.41221374045801
2021-2022,Page County,Page County High,M,281,133,148,30,18,12,175,76,205,102,103,2022,EOC,SOL,High School,22.183098591549296,10.676156583629894,13.533834586466165,8.108108108108109,72.95373665480427,76.69172932330827,69.5945945945946
2021-2022,Patrick County,Patrick County High,F,529,270,259,64,20,44,378,87,442,230,212,2022,EOC,SOL,High School,4.12621359223301,12.098298676748582,7.4074074074074066,16.988416988416986,83.5538752362949,85.18518518518519,81.85328185328186
2021-2022,Patrick County,Patrick County High,M,535,278,257,63,26,37,379,93,442,242,200,2022,EOC,SOL,High School,14.725274725274726,11.775700934579438,9.352517985611511,14.396887159533073,82.61682242990655,87.05035971223022,77.82101167315176
2021-2022,Petersburg City,Petersburg High,F,760,336,424,20,3,17,367,373,387,202,185,2022,EOC,SOL,High School,,2.631578947368421,0.8928571428571428,4.009433962264151,50.921052631578945,60.11904761904761,43.63207547169811
2021-2022,Petersburg City,Petersburg High,M,678,293,385,22,2,20,285,371,307,158,149,2022,EOC,SOL,High School,,3.2448377581120944,0.6825938566552902,5.194805194805195,45.28023598820059,53.92491467576792,38.701298701298704
2021-2022,Pittsylvania County,Chatham High,F,591,286,305,48,9,39,427,116,475,236,239,2022,EOC,SOL,High School,8.552631578947368,8.121827411167512,3.146853146853147,12.786885245901638,80.37225042301185,82.51748251748252,78.36065573770492
2021-2022,Pittsylvania County,Chatham High,M,508,249,259,40,13,27,360,108,400,203,197,2022,EOC,SOL,High School,6.312292358803987,7.874015748031496,5.220883534136546,10.424710424710424,78.74015748031496,81.52610441767068,76.06177606177607
2021-2022,Pittsylvania County,Dan River High,F,539,247,292,41,6,35,371,127,412,201,211,2022,EOC,SOL,High School,4.0,7.606679035250464,2.42914979757085,11.986301369863012,76.43784786641929,81.37651821862349,72.26027397260275
2021-2022,Pittsylvania County,Dan River High,M,598,294,304,40,8,32,391,167,431,219,212,2022,EOC,SOL,High School,7.8125,6.688963210702341,2.7210884353741496,10.526315789473683,72.07357859531773,74.48979591836735,69.73684210526315
2021-2022,Pittsylvania County,Gretna High,F,461,237,224,24,8,16,297,140,321,167,154,2022,EOC,SOL,High School,,5.206073752711497,3.375527426160337,7.142857142857142,69.63123644251627,70.46413502109705,68.75
2021-2022,Pittsylvania County,Gretna High,M,523,219,304,30,8,22,294,199,324,153,171,2022,EOC,SOL,High School,,5.736137667304015,3.65296803652968,7.236842105263158,61.95028680688337,69.86301369863014,56.25
2021-2022,Pittsylvania County,Tunstall High,F,650,330,320,89,15,74,474,87,563,283,280,2022,EOC,SOL,High School,,13.692307692307693,4.545454545454546,23.125,86.61538461538461,85.75757575757575,87.5
2021-2022,Pittsylvania County,Tunstall High,M,705,343,362,120,37,83,500,85,620,300,320,2022,EOC,SOL,High School,,17.02127659574468,10.787172011661808,22.92817679558011,87.94326241134752,87.46355685131195,88.39779005524862
2021-2022,Poquoson City,Poquoson High,F,440,168,272,87,9,78,300,53,387,145,242,2022,EOC,SOL,High School,,19.772727272727273,5.357142857142857,28.676470588235293,87.95454545454545,86.30952380952381,88.97058823529412
2021-2022,Poquoson City,Poquoson High,M,474,188,286,65,19,46,322,87,387,156,231,2022,EOC,SOL,High School,,13.71308016877637,10.106382978723403,16.083916083916083,81.64556962025317,82.97872340425532,80.76923076923077
2021-2022,Portsmouth City,Churchland High,F,964,397,567,72,6,66,625,267,697,284,413,2022,EOC,SOL,High School,,7.468879668049793,1.5113350125944585,11.64021164021164,72.30290456431536,71.53652392947103,72.8395061728395
2021-2022,Portsmouth City,Churchland High,M,980,408,572,68,18,50,600,312,668,273,395,2022,EOC,SOL,High School,,6.938775510204081,4.411764705882353,8.741258741258742,68.16326530612244,66.91176470588235,69.05594405594405
2021-2022,Portsmouth City,I.C. Norcom High,F,747,310,437,22,3,19,401,324,423,173,250,2022,EOC,SOL,High School,0.18484288354898337,2.9451137884872822,0.967741935483871,4.3478260869565215,56.62650602409639,55.80645161290323,57.20823798627003
2021-2022,Portsmouth City,I.C. Norcom High,M,693,327,366,15,3,12,352,326,367,181,186,2022,EOC,SOL,High School,0.36496350364963503,2.1645021645021645,0.9174311926605505,3.278688524590164,52.95815295815296,55.35168195718655,50.81967213114754
2021-2022,Portsmouth City,Manor High,F,800,343,457,42,3,39,459,299,501,215,286,2022,EOC,SOL,High School,0.0,5.25,0.8746355685131195,8.533916849015318,62.625,62.68221574344023,62.58205689277899
2021-2022,Portsmouth City,Manor High,M,847,377,470,38,7,31,473,336,511,238,273,2022,EOC,SOL,High School,0.45801526717557256,4.4864226682408495,1.8567639257294428,6.595744680851063,60.33057851239669,63.12997347480106,58.08510638297872
2021-2022,Powhatan County,Powhatan High,F,650,349,301,69,8,61,445,136,514,286,228,2022,EOC,SOL,High School,1.6176470588235297,10.615384615384615,2.292263610315186,20.26578073089701,79.07692307692308,81.9484240687679,75.74750830564784
2021-2022,Powhatan County,Powhatan High,M,695,356,339,71,15,56,449,175,520,266,254,2022,EOC,SOL,High School,3.363518758085381,10.215827338129497,4.213483146067416,16.519174041297934,74.82014388489209,74.71910112359551,74.92625368731564
2021-2022,Prince Edward County,Prince Edward County High,F,443,183,260,19,2,17,245,179,264,109,155,2022,EOC,SOL,High School,,4.288939051918736,1.092896174863388,6.538461538461539,59.59367945823928,59.56284153005464,59.61538461538461
2021-2022,Prince Edward County,Prince Edward County High,M,438,202,236,20,4,16,214,204,234,97,137,2022,EOC,SOL,High School,,4.5662100456621,1.9801980198019802,6.779661016949152,53.42465753424658,48.01980198019802,58.05084745762712
2021-2022,Prince George County,Prince George High,F,1398,697,701,147,32,115,980,271,1127,563,564,2022,EOC,SOL,High School,0.7891770011273956,10.515021459227468,4.591104734576758,16.405135520684734,80.61516452074392,80.77474892395983,80.4564907275321
2021-2022,Prince George County,Prince George High,M,1523,764,759,140,34,106,1000,383,1140,570,570,2022,EOC,SOL,High School,0.22271714922048996,9.192383453709784,4.450261780104712,13.965744400527008,74.85226526592253,74.60732984293193,75.09881422924902
2021-2022,Prince William County,Battlefield High,F,1579,635,944,369,42,327,1017,193,1386,535,851,2022,EOC,SOL,High School,1.4729950900163666,23.3692210259658,6.6141732283464565,34.63983050847458,87.77707409753009,84.25196850393701,90.14830508474576
2021-2022,Prince William County,Battlefield High,M,1753,665,1088,392,70,322,1129,232,1521,542,979,2022,EOC,SOL,High School,5.110602593440122,22.361665715915574,10.526315789473683,29.59558823529412,86.7655447803765,81.50375939849624,89.98161764705883
2021-2022,Prince William County,Brentsville District High,F,625,288,337,74,7,67,371,180,445,182,263,2022,EOC,SOL,High School,,11.84,2.430555555555556,19.881305637982198,71.2,63.19444444444444,78.04154302670622
2021-2022,Prince William County,Brentsville District High,M,657,276,381,77,10,67,386,194,463,164,299,2022,EOC,SOL,High School,,11.71993911719939,3.6231884057971016,17.585301837270343,70.47184170471841,59.42028985507246,78.4776902887139
2021-2022,Prince William County,C.D. Hylton High,F,1581,688,893,174,15,159,900,507,1074,427,647,2022,EOC,SOL,High School,0.19011406844106463,11.005692599620494,2.1802325581395348,17.80515117581187,67.93168880455408,62.06395348837209,72.45240761478163
2021-2022,Prince William County,C.D. Hylton High,M,1661,761,900,122,15,107,964,575,1086,467,619,2022,EOC,SOL,High School,0.0,7.344972907886815,1.971090670170828,11.88888888888889,65.38229981938592,61.366622864651774,68.77777777777779
2021-2022,Prince William County,Charles J. Colgan Sr. High,F,2343,1011,1332,471,69,402,1432,440,1903,761,1142,2022,EOC,SOL,High School,1.8844221105527637,20.102432778489117,6.824925816023739,30.180180180180184,81.2206572769953,75.27200791295748,85.73573573573574
2021-2022,Prince William County,Charles J. Colgan Sr. High,M,1888,873,1015,285,46,239,1117,486,1402,617,785,2022,EOC,SOL,High School,3.2878909382518042,15.095338983050846,5.2691867124856815,23.54679802955665,74.25847457627118,70.67583046964491,77.33990147783251
2021-2022,Prince William County,Forest Park High,F,1590,694,896,241,46,195,935,414,1176,470,706,2022,EOC,SOL,High School,1.8418201516793065,15.157232704402515,6.628242074927954,21.763392857142858,73.9622641509434,67.72334293948127,78.79464285714286
2021-2022,Prince William County,Forest Park High,M,2274,1012,1262,340,68,272,1453,481,1793,749,1044,2022,EOC,SOL,High School,9.598214285714286,14.951627088830255,6.719367588932807,21.553090332805073,78.84784520668426,74.01185770750988,82.7258320126783
2021-2022,Prince William County,Freedom High,F,1466,684,782,51,8,43,831,584,882,415,467,2022,EOC,SOL,High School,0.20060180541624875,3.4788540245566164,1.1695906432748537,5.498721227621484,60.16371077762619,60.672514619883046,59.71867007672634
2021-2022,Prince William County,Freedom High,M,1602,723,879,57,7,50,904,641,961,425,536,2022,EOC,SOL,High School,0.0,3.5580524344569286,0.9681881051175657,5.688282138794084,59.98751560549314,58.78284923928078,60.978384527872585
2021-2022,Prince William County,Gainesville High,F,1633,944,689,183,62,121,1157,293,1340,778,562,2022,EOC,SOL,High School,1.1396011396011396,11.206368646662584,6.567796610169492,17.561683599419446,82.05756276791182,82.41525423728814,81.56748911465893
2021-2022,Prince William County,Gainesville High,M,1604,962,642,177,87,90,1104,323,1281,777,504,2022,EOC,SOL,High School,1.4598540145985401,11.034912718204488,9.043659043659044,14.018691588785046,79.86284289276809,80.76923076923077,78.50467289719626
2021-2022,Prince William County,Gar-Field High,F,1807,827,980,79,5,74,914,814,993,435,558,2022,EOC,SOL,High School,1.0362694300518136,4.371887105700056,0.6045949214026602,7.551020408163265,54.95296070835639,52.59975816203144,56.93877551020409
2021-2022,Prince William County,Gar-Field High,M,2124,1024,1100,84,12,72,980,1060,1064,507,557,2022,EOC,SOL,High School,2.621434078643022,3.954802259887006,1.171875,6.545454545454546,50.09416195856874,49.51171875,50.63636363636363
2021-2022,Prince William County,Osbourn Park High,F,2310,1013,1297,480,94,386,1383,447,1863,786,1077,2022,EOC,SOL,High School,4.929577464788732,20.77922077922078,9.279368213228036,29.760986892829607,80.64935064935065,77.5913129318855,83.03777949113339
2021-2022,Prince William County,Osbourn Park High,M,2248,1041,1207,460,117,343,1356,432,1816,823,993,2022,EOC,SOL,High School,6.378132118451026,20.462633451957295,11.239193083573488,28.417564208782103,80.78291814946618,79.05859750240154,82.27009113504556
2021-2022,Prince William County,Patriot High,F,1846,803,1043,356,76,280,1213,277,1569,690,879,2022,EOC,SOL,High School,3.8426349496797805,19.284940411700973,9.464508094645081,26.845637583892618,84.99458288190682,85.92777085927771,84.27612655800574
2021-2022,Prince William County,Patriot High,M,2056,891,1165,353,83,270,1336,367,1689,740,949,2022,EOC,SOL,High School,10.832659660468877,17.169260700389106,9.31537598204265,23.17596566523605,82.14980544747081,83.05274971941638,81.45922746781116
2021-2022,Prince William County,Potomac High,F,1495,634,861,110,18,92,917,468,1027,400,627,2022,EOC,SOL,High School,0.6787330316742082,7.357859531772576,2.8391167192429023,10.685249709639953,68.69565217391305,63.09148264984227,72.82229965156795
2021-2022,Prince William County,Potomac High,M,1933,843,1090,116,16,100,1101,716,1217,514,703,2022,EOC,SOL,High School,1.683816651075772,6.0010346611484735,1.8979833926453145,9.174311926605505,62.959130884635286,60.972716488730725,64.4954128440367
2021-2022,Prince William County,Unity Reed High,F,1790,831,959,93,6,87,861,836,954,374,580,2022,EOC,SOL,High School,0.1759014951627089,5.195530726256983,0.7220216606498195,9.071949947862358,53.296089385474865,45.006016847172084,60.47966631908238
2021-2022,Prince William County,Unity Reed High,M,1938,895,1043,117,23,94,937,884,1054,447,607,2022,EOC,SOL,High School,0.0,6.037151702786378,2.569832402234637,9.012464046021092,54.385964912280706,49.94413407821229,58.19750719079578
2021-2022,Prince William County,Woodbridge High,F,2421,1122,1299,267,39,228,1415,739,1682,732,950,2022,EOC,SOL,High School,2.627737226277372,11.028500619578686,3.4759358288770055,17.551963048498845,69.47542337876911,65.24064171122996,73.13317936874519
2021-2022,Prince William County,Woodbridge High,M,2545,1214,1331,225,37,188,1541,779,1766,816,950,2022,EOC,SOL,High School,6.165839829907867,8.840864440078585,3.047775947281713,14.124718256949661,69.3909626719057,67.21581548599671,71.3749060856499
2021-2022,Pulaski County,Pulaski County Senior High,F,720,315,405,67,7,60,480,173,547,236,311,2022,EOC,SOL,High School,0.0,9.305555555555555,2.2222222222222223,14.814814814814813,75.97222222222221,74.92063492063492,76.79012345679013
2021-2022,Pulaski County,Pulaski County Senior High,M,713,279,434,51,8,43,402,260,453,183,270,2022,EOC,SOL,High School,0.16835016835016833,7.152875175315568,2.867383512544803,9.90783410138249,63.5343618513324,65.59139784946237,62.21198156682027
2021-2022,Radford City,Radford High,F,512,258,254,66,11,55,309,137,375,172,203,2022,EOC,SOL,High School,0.4576659038901602,12.890625,4.263565891472868,21.653543307086615,73.2421875,66.66666666666666,79.92125984251969
2021-2022,Radford City,Radford High,M,525,281,244,57,13,44,342,126,399,207,192,2022,EOC,SOL,High School,1.7857142857142856,10.857142857142858,4.6263345195729535,18.0327868852459,76.0,73.66548042704626,78.68852459016394
2021-2022,Rappahannock County,Rappahannock County High,F,114,53,61,19,6,13,69,26,88,41,47,2022,EOC,SOL,High School,1.5151515151515151,16.666666666666664,11.320754716981133,21.311475409836063,77.19298245614034,77.35849056603774,77.04918032786885
2021-2022,Rappahannock County,Rappahannock County High,M,178,89,89,25,3,22,110,43,135,67,68,2022,EOC,SOL,High School,0.5813953488372093,14.04494382022472,3.3707865168539324,24.719101123595504,75.84269662921348,75.28089887640449,76.40449438202246
2021-2022,Richmond City,Armstrong High,F,589,256,333,13,3,10,213,363,226,99,127,2022,EOC,SOL,High School,0.5141388174807198,2.2071307300509337,1.171875,3.003003003003003,38.37011884550085,38.671875,38.13813813813814
2021-2022,Richmond City,Armstrong High,M,637,298,339,11,2,9,266,360,277,134,143,2022,EOC,SOL,High School,1.5544041450777202,1.726844583987441,0.6711409395973155,2.6548672566371683,43.4850863422292,44.966442953020135,42.18289085545723
2021-2022,Richmond City,Franklin Military Academy,F,116,56,60,4,3,1,74,38,78,43,35,2022,EOC,SOL,High School,0.847457627118644,3.4482758620689653,5.357142857142857,1.6666666666666667,67.24137931034483,76.78571428571429,58.333333333333336
2021-2022,Richmond City,Franklin Military Academy,M,185,106,79,10,6,4,131,44,141,86,55,2022,EOC,SOL,High School,2.0100502512562812,5.405405405405405,5.660377358490567,5.063291139240507,76.21621621621621,81.13207547169812,69.62025316455697
2021-2022,Richmond City,George Wythe High,F,1089,545,544,4,1,3,240,845,244,119,125,2022,EOC,SOL,High School,1.376936316695353,0.3673094582185491,0.1834862385321101,0.5514705882352942,22.405876951331496,21.834862385321102,22.977941176470587
2021-2022,Richmond City,George Wythe High,M,1331,646,685,14,1,13,276,1041,290,134,156,2022,EOC,SOL,High School,1.1126564673157162,1.051840721262209,0.15479876160990713,1.897810218978102,21.788129226145756,20.743034055727556,22.773722627737225
2021-2022,Richmond City,Huguenot High,F,1041,443,598,36,8,28,491,514,527,233,294,2022,EOC,SOL,High School,0.7704160246533128,3.45821325648415,1.805869074492099,4.682274247491638,50.62439961575408,52.595936794582386,49.163879598662206
2021-2022,Richmond City,Huguenot High,M,1138,498,640,33,6,27,477,628,510,250,260,2022,EOC,SOL,High School,1.884057971014493,2.899824253075571,1.2048192771084338,4.21875,44.81546572934973,50.20080321285141,40.625
2021-2022,Richmond City,John Marshall High,F,488,217,271,21,2,19,281,186,302,133,169,2022,EOC,SOL,High School,1.153846153846154,4.30327868852459,0.9216589861751152,7.011070110701106,61.885245901639344,61.29032258064516,62.36162361623616
2021-2022,Richmond City,John Marshall High,M,530,247,283,31,8,23,282,217,313,151,162,2022,EOC,SOL,High School,1.4184397163120568,5.849056603773585,3.2388663967611335,8.12720848056537,59.056603773584904,61.1336032388664,57.243816254416956
2021-2022,Richmond City,Open High,F,199,77,122,50,10,40,133,16,183,66,117,2022,EOC,SOL,High School,9.67741935483871,25.125628140703515,12.987012987012985,32.78688524590164,91.95979899497488,85.71428571428571,95.90163934426229
2021-2022,Richmond City,Open High,M,81,30,51,23,6,17,48,10,71,24,47,2022,EOC,SOL,High School,6.25,28.39506172839506,20.0,33.33333333333333,87.65432098765432,80.0,92.15686274509804
2021-2022,Richmond City,Richmond Alternative,F,28,,28,0,,0,1,27,1,,1,2022,EOC,SOL,High School,,0.0,,0.0,3.571428571428571,,3.571428571428571
2021-2022,Richmond City,Richmond Alternative,M,70,23,47,0,0,0,13,57,13,3,10,2022,EOC,SOL,High School,,0.0,0.0,0.0,18.571428571428573,13.043478260869565,21.27659574468085
2021-2022,Richmond City,Richmond Community High,F,159,68,91,23,2,21,120,16,143,59,84,2022,EOC,SOL,High School,0.7518796992481203,14.465408805031446,2.941176470588235,23.076923076923077,89.937106918239,86.76470588235294,92.3076923076923
2021-2022,Richmond City,Richmond Community High,M,110,51,59,26,5,21,76,8,102,44,58,2022,EOC,SOL,High School,5.128205128205128,23.636363636363637,9.803921568627452,35.59322033898305,92.72727272727272,86.27450980392157,98.30508474576271
2021-2022,Richmond City,Thomas Jefferson High,F,791,320,471,71,17,54,399,321,470,193,277,2022,EOC,SOL,High School,1.0309278350515463,8.97597977243995,5.3125,11.464968152866243,59.41845764854614,60.3125,58.81104033970276
2021-2022,Richmond City,Thomas Jefferson High,M,770,333,437,63,15,48,291,416,354,146,208,2022,EOC,SOL,High School,2.857142857142857,8.181818181818182,4.504504504504505,10.983981693363845,45.97402597402597,43.84384384384384,47.59725400457666
2021-2022,Richmond County,Rappahannock High,F,238,127,111,22,1,21,173,43,195,105,90,2022,EOC,SOL,High School,,9.243697478991598,0.7874015748031495,18.91891891891892,81.9327731092437,82.67716535433071,81.08108108108108
2021-2022,Richmond County,Rappahannock High,M,232,125,107,19,5,14,140,73,159,79,80,2022,EOC,SOL,High School,,8.189655172413794,4.0,13.084112149532709,68.53448275862068,63.2,74.76635514018692
2021-2022,Roanoke City,Patrick Henry High,F,1201,623,578,105,29,76,635,461,740,394,346,2022,EOC,SOL,High School,10.307017543859649,8.742714404662781,4.654895666131622,13.148788927335639,61.61532056619484,63.242375601926156,59.86159169550172
2021-2022,Roanoke City,Patrick Henry High,M,1154,659,495,98,30,68,625,431,723,394,329,2022,EOC,SOL,High School,16.61409043112513,8.492201039861353,4.552352048558421,13.737373737373737,62.651646447140386,59.78755690440061,66.46464646464646
2021-2022,Roanoke City,William Fleming High,F,1032,572,460,30,8,22,610,392,640,377,263,2022,EOC,SOL,High School,5.137844611528822,2.9069767441860463,1.3986013986013985,4.782608695652174,62.01550387596899,65.9090909090909,57.173913043478265
2021-2022,Roanoke City,William Fleming High,M,1065,586,479,46,13,33,600,419,646,377,269,2022,EOC,SOL,High School,10.046189376443419,4.31924882629108,2.218430034129693,6.8893528183716075,60.65727699530517,64.3344709897611,56.158663883089766
2021-2022,Roanoke County,Cave Spring High,F,673,403,270,136,64,72,473,64,609,363,246,2022,EOC,SOL,High School,,20.208023774145616,15.88089330024814,26.666666666666668,90.49034175334324,90.07444168734492,91.11111111111111
2021-2022,Roanoke County,Cave Spring High,M,640,384,256,141,70,71,429,70,570,342,228,2022,EOC,SOL,High School,,22.03125,18.229166666666664,27.734375,89.0625,89.0625,89.0625
2021-2022,Roanoke County,Glenvar High,F,373,214,159,53,20,33,270,50,323,187,136,2022,EOC,SOL,High School,,14.209115281501342,9.345794392523365,20.754716981132077,86.59517426273459,87.38317757009347,85.53459119496856
2021-2022,Roanoke County,Glenvar High,M,422,244,178,84,34,50,288,50,372,217,155,2022,EOC,SOL,High School,,19.90521327014218,13.934426229508196,28.08988764044944,88.15165876777252,88.9344262295082,87.07865168539325
2021-2022,Roanoke County,Hidden Valley High,F,482,283,199,115,63,52,320,47,435,257,178,2022,EOC,SOL,High School,,23.858921161825727,22.261484098939928,26.13065326633166,90.24896265560166,90.81272084805654,89.44723618090453
2021-2022,Roanoke County,Hidden Valley High,M,589,363,226,105,63,42,421,63,526,327,199,2022,EOC,SOL,High School,,17.826825127334462,17.355371900826448,18.58407079646018,89.30390492359932,90.08264462809917,88.05309734513274
2021-2022,Roanoke County,Northside High,F,603,375,228,52,27,25,417,134,469,304,165,2022,EOC,SOL,High School,,8.623548922056385,7.199999999999999,10.964912280701753,77.77777777777779,81.06666666666666,72.36842105263158
2021-2022,Roanoke County,Northside High,M,627,364,263,59,24,35,448,120,507,306,201,2022,EOC,SOL,High School,,9.409888357256778,6.593406593406594,13.307984790874524,80.86124401913875,84.06593406593407,76.42585551330798
2021-2022,Roanoke County,William Byrd High,F,610,370,240,67,25,42,434,109,501,306,195,2022,EOC,SOL,High School,,10.98360655737705,6.756756756756757,17.5,82.1311475409836,82.70270270270271,81.25
2021-2022,Roanoke County,William Byrd High,M,773,477,296,78,37,41,530,165,608,383,225,2022,EOC,SOL,High School,,10.090556274256144,7.756813417190776,13.85135135135135,78.65459249676586,80.29350104821803,76.01351351351352
2021-2022,Rockbridge County,Rockbridge County High,F,650,322,328,99,10,89,384,167,483,242,241,2022,EOC,SOL,High School,0.5952380952380952,15.230769230769232,3.1055900621118013,27.134146341463417,74.3076923076923,75.15527950310559,73.47560975609755
2021-2022,Rockbridge County,Rockbridge County High,M,640,333,307,69,24,45,365,206,434,242,192,2022,EOC,SOL,High School,1.8656716417910446,10.78125,7.207207207207207,14.65798045602606,67.8125,72.67267267267268,62.54071661237784
2021-2022,Rockingham County,Broadway High,F,470,242,228,37,6,31,345,88,382,199,183,2022,EOC,SOL,High School,,7.872340425531915,2.479338842975207,13.596491228070176,81.27659574468085,82.23140495867769,80.26315789473685
