school_year,division_name,school_name,total_count,total_count_stem,total_count_non_stem,pass_advanced_count,pass_advanced_count_stem,pass_advanced_count_non_stem,pass_proficient_count,fail_count,pass_count,pass_count_stem,pass_count_non_stem,year,test_level,test_source,school_level,CS_enrollment_rate,pass_advanced_rate,pass_advanced_rate_stem,pass_advanced_rate_non_stem,pass_rate,pass_rate_stem,pass_rate_non_stem
2021-2022,Warren County,Warren County High,959,467,492,92,27,65,621,246,713,365,348,2022,EOC,SOL,High School,,9.593326381647548,5.781584582441114,13.211382113821138,74.34827945776851,78.15845824411134,70.73170731707317
2021-2022,Washington County,Abingdon High,716,450,266,100,29,71,494,122,594,384,210,2022,EOC,SOL,High School,,13.966480446927374,6.444444444444445,26.691729323308273,82.9608938547486,85.33333333333334,78.94736842105263
2021-2022,Washington County,Holston High,209,146,63,29,13,16,160,20,189,129,60,2022,EOC,SOL,High School,,13.875598086124402,8.904109589041095,25.396825396825395,90.43062200956938,88.35616438356165,95.23809523809523
2021-2022,Washington County,John S. Battle High,551,360,191,59,18,41,404,88,463,294,169,2022,EOC,SOL,High School,,10.707803992740473,5.0,21.465968586387437,84.0290381125227,81.66666666666667,88.48167539267016
2021-2022,Washington County,Patrick Henry High,290,199,91,38,14,24,216,36,254,176,78,2022,EOC,SOL,High School,,13.10344827586207,7.035175879396985,26.373626373626376,87.58620689655172,88.44221105527639,85.71428571428571
2021-2022,Waynesboro City,Waynesboro High,1027,525,502,61,13,48,542,424,603,306,297,2022,EOC,SOL,High School,0.11173184357541899,5.939629990262902,2.4761904761904763,9.56175298804781,58.714703018500494,58.285714285714285,59.16334661354582
2021-2022,Westmoreland County,Westmoreland High,664,329,335,33,9,24,381,250,414,228,186,2022,EOC,SOL,High School,10.2880658436214,4.969879518072289,2.735562310030395,7.164179104477612,62.34939759036144,69.30091185410335,55.52238805970149
2021-2022,Williamsburg-James City County,Jamestown High,1784,812,972,315,78,237,1106,363,1421,663,758,2022,EOC,SOL,High School,6.436041834271923,17.656950672645742,9.60591133004926,24.382716049382715,79.652466367713,81.65024630541872,77.9835390946502
2021-2022,Williamsburg-James City County,Lafayette High,1768,813,955,169,46,123,1105,494,1274,607,667,2022,EOC,SOL,High School,4.649122807017544,9.558823529411764,5.658056580565805,12.879581151832461,72.05882352941177,74.66174661746618,69.84293193717276
2021-2022,Williamsburg-James City County,Warhill High,2246,1084,1162,250,64,186,1305,691,1555,743,812,2022,EOC,SOL,High School,6.791044776119402,11.130899376669635,5.904059040590406,16.00688468158348,69.23419412288513,68.54243542435424,69.87951807228916
2021-2022,Winchester City,John Handley High,1838,820,1018,242,42,200,970,626,1212,523,689,2022,EOC,SOL,High School,14.76510067114094,13.166485310119697,5.121951219512195,19.646365422396855,65.94124047878128,63.78048780487805,67.68172888015717
2021-2022,Wise County,Central High,834,350,484,168,30,138,569,97,737,320,417,2022,EOC,SOL,High School,0.322061191626409,20.14388489208633,8.571428571428571,28.512396694214875,88.3693045563549,91.42857142857143,86.15702479338843
2021-2022,Wise County,Eastside High,495,228,267,58,18,40,355,82,413,194,219,2022,EOC,SOL,High School,,11.717171717171718,7.894736842105263,14.981273408239701,83.43434343434343,85.08771929824562,82.02247191011236
2021-2022,Wise County,Union High,724,304,420,119,17,102,499,106,618,259,359,2022,EOC,SOL,High School,3.405017921146954,16.43646408839779,5.592105263157895,24.285714285714285,85.35911602209944,85.19736842105263,85.47619047619047
2021-2022,Wythe County,Fort Chiswell High,432,213,219,52,12,40,311,69,363,182,181,2022,EOC,SOL,High School,1.3100436681222707,12.037037037037036,5.633802816901409,18.2648401826484,84.02777777777779,85.44600938967136,82.64840182648402
2021-2022,Wythe County,George Wythe High,481,249,232,72,24,48,332,77,404,220,184,2022,EOC,SOL,High School,2.232142857142857,14.96881496881497,9.63855421686747,20.689655172413794,83.991683991684,88.35341365461848,79.3103448275862
2021-2022,Wythe County,Rural Retreat High,320,147,173,67,16,51,221,32,288,129,159,2022,EOC,SOL,High School,2.803738317757009,20.9375,10.884353741496598,29.47976878612717,90.0,87.75510204081633,91.90751445086705
2021-2022,York County,Bruton High,1069,517,552,149,28,121,664,256,813,380,433,2022,EOC,SOL,High School,,13.938260056127222,5.415860735009671,21.920289855072465,76.05238540692237,73.5009671179884,78.44202898550725
2021-2022,York County,Grafton High,1729,792,937,397,87,310,1145,187,1542,686,856,2022,EOC,SOL,High School,2.0338983050847457,22.96124927703875,10.984848484848484,33.084311632870865,89.1844997108155,86.61616161616162,91.35538954108858
2021-2022,York County,Tabb High,1641,737,904,344,75,269,1121,176,1465,652,813,2022,EOC,SOL,High School,,20.962827544180378,10.176390773405698,29.75663716814159,89.27483241925655,88.46675712347354,89.93362831858407
2021-2022,York County,York High,1488,668,820,216,44,172,1025,247,1241,552,689,2022,EOC,SOL,High School,,14.516129032258066,6.58682634730539,20.975609756097562,83.40053763440861,82.63473053892216,84.02439024390243
2021-2022,York County,York River Academy,99,41,58,5,2,3,83,11,88,38,50,2022,EOC,SOL,High School,,5.05050505050505,4.878048780487805,5.172413793103448,88.88888888888889,92.6829268292683,86.20689655172413
