school_year,division_name,school_name,total_count,total_count_stem,total_count_non_stem,pass_advanced_count,pass_advanced_count_stem,pass_advanced_count_non_stem,pass_proficient_count,fail_count,pass_count,pass_count_stem,pass_count_non_stem,year,test_level,test_source,school_level,CS_enrollment_rate,pass_advanced_rate,pass_advanced_rate_stem,pass_advanced_rate_non_stem,pass_rate,pass_rate_stem,pass_rate_non_stem
2021-2022,Staunton City,Staunton High,1271,633,638,159,42,117,781,331,940,451,489,2022,EOC,SOL,High School,0.9501187648456058,12.509834775767112,6.6350710900473935,18.338557993730408,73.95751376868608,71.24802527646129,76.64576802507837
2021-2022,Suffolk City,King's Fork High,2721,1283,1438,141,18,123,1457,1123,1598,736,862,2022,EOC,SOL,High School,1.4311270125223614,5.181918412348401,1.4029618082618862,8.55354659248957,58.72840867328188,57.3655494933749,59.944367176634216
2021-2022,Suffolk City,Lakeland High,1622,664,958,83,13,70,871,668,954,380,574,2022,EOC,SOL,High School,2.121771217712177,5.117139334155364,1.957831325301205,7.306889352818372,58.816276202219484,57.22891566265061,59.91649269311065
2021-2022,Suffolk City,Nansemond River High,2520,1205,1315,256,40,216,1586,678,1842,855,987,2022,EOC,SOL,High School,1.9879518072289155,10.158730158730158,3.319502074688797,16.425855513307987,73.09523809523809,70.95435684647303,75.05703422053232
2021-2022,Surry County,Surry County High,285,102,183,16,2,14,202,67,218,83,135,2022,EOC,SOL,High School,11.013215859030836,5.614035087719298,1.9607843137254901,7.650273224043716,76.49122807017544,81.37254901960785,73.77049180327869
2021-2022,Sussex County,Sussex Central High,625,302,323,35,3,32,383,207,418,182,236,2022,EOC,SOL,High School,22.115384615384613,5.6000000000000005,0.9933774834437087,9.907120743034056,66.88,60.264900662251655,73.06501547987617
2021-2022,Tazewell County,Graham High,475,123,352,91,13,78,338,46,429,112,317,2022,EOC,SOL,High School,32.734530938123754,19.157894736842103,10.569105691056912,22.15909090909091,90.31578947368422,91.05691056910568,90.05681818181817
2021-2022,Tazewell County,Richlands High,670,271,399,86,20,66,472,112,558,234,324,2022,EOC,SOL,High School,13.991163475699558,12.835820895522387,7.380073800738007,16.541353383458645,83.28358208955224,86.34686346863468,81.203007518797
2021-2022,Tazewell County,Tazewell High,517,193,324,98,24,74,373,46,471,181,290,2022,EOC,SOL,High School,13.535353535353536,18.95551257253385,12.435233160621761,22.839506172839506,91.10251450676982,93.78238341968913,89.50617283950618
2021-2022,Virginia Beach City,Bayside High,2702,1123,1579,272,49,223,1596,834,1868,789,1079,2022,EOC,SOL,High School,6.612021857923497,10.066617320503331,4.363312555654497,14.122862571247625,69.1339748334567,70.25823686553873,68.33438885370488
2021-2022,Virginia Beach City,First Colonial High,2370,963,1407,293,43,250,1626,451,1919,787,1132,2022,EOC,SOL,High School,10.812356979405035,12.362869198312236,4.46521287642783,17.768301350390903,80.97046413502109,81.72377985462099,80.45486851457001
2021-2022,Virginia Beach City,Floyd Kellam High,2455,932,1523,404,47,357,1733,318,2137,811,1326,2022,EOC,SOL,High School,8.257858284496537,16.45621181262729,5.042918454935622,23.440577806959947,87.04684317718942,87.01716738197425,87.0650032829941
2021-2022,Virginia Beach City,Frank W. Cox High,2242,910,1332,344,72,272,1547,351,1891,767,1124,2022,EOC,SOL,High School,10.0,15.343443354148082,7.9120879120879115,20.42042042042042,84.3443354148082,84.28571428571429,84.38438438438438
2021-2022,Virginia Beach City,Green Run Collegiate,602,229,373,67,13,54,432,103,499,187,312,2022,EOC,SOL,High School,,11.129568106312291,5.676855895196507,14.47721179624665,82.890365448505,81.6593886462882,83.6461126005362
2021-2022,Virginia Beach City,Green Run High,2054,832,1222,159,25,134,1260,635,1419,599,820,2022,EOC,SOL,High School,5.894736842105263,7.740993184031159,3.0048076923076925,10.965630114566286,69.08471275559883,71.9951923076923,67.10310965630114
2021-2022,Virginia Beach City,Kempsville High,2689,1109,1580,252,31,221,1801,636,2053,876,1177,2022,EOC,SOL,High School,12.29020032485111,9.371513573819264,2.7953110910730388,13.987341772151899,76.34808478988472,78.99008115419296,74.49367088607595
2021-2022,Virginia Beach City,Landstown High,2974,1106,1868,441,99,342,1923,610,2364,894,1470,2022,EOC,SOL,High School,14.14519906323185,14.828513786146605,8.95117540687161,18.30835117773019,79.48890383322124,80.83182640144665,78.69379014989293
2021-2022,Virginia Beach City,Ocean Lakes High,2545,1045,1500,615,177,438,1566,364,2181,887,1294,2022,EOC,SOL,High School,14.937759336099585,24.165029469548134,16.937799043062203,29.2,85.69744597249509,84.88038277511963,86.26666666666667
2021-2022,Virginia Beach City,Princess Anne High,2304,988,1316,544,131,413,1400,360,1944,831,1113,2022,EOC,SOL,High School,12.65899454875833,23.61111111111111,13.259109311740891,31.382978723404253,84.375,84.10931174089069,84.57446808510637
2021-2022,Virginia Beach City,Salem High,2482,1192,1290,388,67,321,1656,438,2044,952,1092,2022,EOC,SOL,High School,9.950248756218906,15.63255439161966,5.620805369127517,24.88372093023256,82.35294117647058,79.86577181208054,84.65116279069768
2021-2022,Virginia Beach City,Tallwood High,2524,1019,1505,331,42,289,1712,481,2043,836,1207,2022,EOC,SOL,High School,4.791431792559188,13.114104595879555,4.121687929342492,19.20265780730897,80.94294770206022,82.04121687929342,80.19933554817275
2021-2022,Warren County,Skyline High,1017,499,518,65,19,46,605,347,670,356,314,2022,EOC,SOL,High School,2.277904328018223,6.391347099311701,3.807615230460922,8.880308880308881,65.88003933136677,71.34268537074149,60.61776061776062
