School Year,Division Number,Division Name,School Number,School Name,Subject,Disadvantaged,Test Level,Test Source,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2021-2022,43,Henrico County ,690,Quioccasin Middle,Science,N,EOC,SOL,              16,              69,               6,              85,              91,    17.58,    75.82,     6.59,    93.41,  459
2021-2022,43,Henrico County ,690,Quioccasin Middle,Science,Y,EOC,SOL,               4,              33,               4,              37,              41,     9.76,    80.49,     9.76,    90.24,  435
2021-2022,43,Henrico County ,710,Shady Grove Elementary,Mathematics,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,43,Henrico County ,80,Short Pump Middle,History and Social Science,N,EOC,SOL,              45,             156,               8,             201,             209,    21.53,    74.64,     3.83,    96.17,  466
2021-2022,43,Henrico County ,80,Short Pump Middle,History and Social Science,Y,EOC,SOL,               5,              12,               3,              17,              20,    25.00,    60.00,    15.00,    85.00,  465
2021-2022,43,Henrico County ,80,Short Pump Middle,Mathematics,N,EOC,SOL,              74,             288,              12,             362,             374,    19.79,    77.01,     3.21,    96.79,  462
2021-2022,43,Henrico County ,80,Short Pump Middle,Mathematics,Y,EOC,SOL,               7,              23,               3,              30,              33,    21.21,    69.70,     9.09,    90.91,  466
2021-2022,43,Henrico County ,80,Short Pump Middle,Science,N,EOC,SOL,              66,             142,               6,             208,             214,    30.84,    66.36,     2.80,    97.20,  473
2021-2022,43,Henrico County ,80,Short Pump Middle,Science,Y,EOC,SOL,               4,              15,               1,              19,              20,    20.00,    75.00,     5.00,    95.00,  468
2021-2022,43,Henrico County ,520,Tuckahoe Middle,History and Social Science,N,EOC,SOL,              37,             128,               6,             165,             171,    21.64,    74.85,     3.51,    96.49,  467
2021-2022,43,Henrico County ,520,Tuckahoe Middle,History and Social Science,Y,EOC,SOL,               5,              20,               0,              25,              25,    20.00,    80.00,      .00,100.00,  462
2021-2022,43,Henrico County ,520,Tuckahoe Middle,Mathematics,N,EOC,SOL,              31,             244,              12,             275,             287,    10.80,    85.02,     4.18,    95.82,  448
2021-2022,43,Henrico County ,520,Tuckahoe Middle,Mathematics,Y,EOC,SOL,               1,              40,               1,              41,              42,     2.38,    95.24,     2.38,    97.62,  439
2021-2022,43,Henrico County ,520,Tuckahoe Middle,Science,N,EOC,SOL,              23,             151,               4,             174,             178,    12.92,    84.83,     2.25,    97.75,  463
2021-2022,43,Henrico County ,520,Tuckahoe Middle,Science,Y,EOC,SOL,               2,              29,               3,              31,              34,     5.88,    85.29,     8.82,    91.18,  437
2021-2022,43,Henrico County ,580,Varina High,English:Reading,N,EOC,SOL,              23,              83,              28,             106,             134,    17.16,    61.94,    20.90,    79.10,  440
2021-2022,43,Henrico County ,580,Varina High,English:Reading,Y,EOC,SOL,              15,             117,              62,             132,             194,     7.73,    60.31,    31.96,    68.04,  420
2021-2022,43,Henrico County ,580,Varina High,English:Writing,N,EOC,SOL,               5,              66,              59,              71,             130,     3.85,    50.77,    45.38,    54.62,  404
2021-2022,43,Henrico County ,580,Varina High,English:Writing,Y,EOC,SOL,               4,              91,             110,              95,             205,     1.95,    44.39,    53.66,    46.34,  388
2021-2022,43,Henrico County ,580,Varina High,History and Social Science,N,EOC,SOL,               1,              15,              54,              16,              70,     1.43,    21.43,    77.14,    22.86,  371
2021-2022,43,Henrico County ,580,Varina High,History and Social Science,Y,EOC,SOL,               1,              92,             253,              93,             346,      .29,    26.59,    73.12,    26.88,  376
2021-2022,43,Henrico County ,580,Varina High,Mathematics,N,EOC,SOL,               0,              72,              23,              72,              95,      .00,    75.79,    24.21,    75.79,  411
2021-2022,43,Henrico County ,580,Varina High,Mathematics,Y,EOC,SOL,               2,             239,             136,             241,             377,      .53,    63.40,    36.07,    63.93,  405
2021-2022,43,Henrico County ,580,Varina High,Science,N,EOC,SOL,               2,              52,              54,              54,             108,     1.85,    48.15,    50.00,    50.00,  394
2021-2022,43,Henrico County ,580,Varina High,Science,Y,EOC,SOL,               5,             113,             165,             118,             283,     1.77,    39.93,    58.30,    41.70,  389
2021-2022,44,Henry County ,10,Bassett High,English:Reading,N,EOC,SOL,              19,              68,               9,              87,              96,    19.79,    70.83,     9.38,    90.63,  456
2021-2022,44,Henry County ,10,Bassett High,English:Reading,Y,EOC,SOL,              13,              93,              36,             106,             142,     9.15,    65.49,    25.35,    74.65,  430
2021-2022,44,Henry County ,10,Bassett High,History and Social Science,N,EOC,SOL,               6,              73,              48,              79,             127,     4.72,    57.48,    37.80,    62.20,  414
2021-2022,44,Henry County ,10,Bassett High,History and Social Science,Y,EOC,SOL,               9,             108,             198,             117,             315,     2.86,    34.29,    62.86,    37.14,  390
2021-2022,44,Henry County ,10,Bassett High,Mathematics,N,EOC,SOL,               2,              88,              26,              90,             116,     1.72,    75.86,    22.41,    77.59,  427
2021-2022,44,Henry County ,10,Bassett High,Mathematics,Y,EOC,SOL,               4,             148,              66,             152,             218,     1.83,    67.89,    30.28,    69.72,  418
2021-2022,44,Henry County ,10,Bassett High,Science,N,EOC,SOL,              14,             129,              48,             143,             191,     7.33,    67.54,    25.13,    74.87,  429
2021-2022,44,Henry County ,10,Bassett High,Science,Y,EOC,SOL,              10,             165,             165,             175,             340,     2.94,    48.53,    48.53,    51.47,  405
2021-2022,44,Henry County ,620,Fieldale-Collinsville Middle ,Mathematics,N,EOC,SOL,               5,              18,               0,              23,              23,    21.74,    78.26,      .00,100.00,  471
2021-2022,44,Henry County ,620,Fieldale-Collinsville Middle ,Mathematics,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  470
