School Year,Division Number,Division Name,School Number,School Name,Subject,Disadvantaged,Test Level,Test Source,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2021-2022,1,Accomack County ,540,Arcadia High,English:Reading,N,EOC,SOL,              13,              45,              19,              58,              77,    16.88,    58.44,    24.68,    75.32,  436
2021-2022,1,Accomack County ,540,Arcadia High,English:Reading,Y,EOC,SOL,               8,              52,              20,              60,              80,    10.00,    65.00,    25.00,    75.00,  432
2021-2022,1,Accomack County ,540,Arcadia High,English:Writing,N,EOC,SOL,              11,              52,              34,              63,              97,    11.34,    53.61,    35.05,    64.95,  419
2021-2022,1,Accomack County ,540,Arcadia High,English:Writing,Y,EOC,SOL,               3,              36,              24,              39,              63,     4.76,    57.14,    38.10,    61.90,  411
2021-2022,1,Accomack County ,540,Arcadia High,History and Social Science,N,EOC,SOL,               4,              54,              94,              58,             152,     2.63,    35.53,    61.84,    38.16,  389
2021-2022,1,Accomack County ,540,Arcadia High,History and Social Science,Y,EOC,SOL,               3,              41,             100,              44,             144,     2.08,    28.47,    69.44,    30.56,  383
2021-2022,1,Accomack County ,540,Arcadia High,Mathematics,N,EOC,SOL,               2,              67,              22,              69,              91,     2.20,    73.63,    24.18,    75.82,  419
2021-2022,1,Accomack County ,540,Arcadia High,Mathematics,Y,EOC,SOL,               4,              72,              29,              76,             105,     3.81,    68.57,    27.62,    72.38,  418
2021-2022,1,Accomack County ,540,Arcadia High,Science,N,EOC,SOL,               6,              64,              33,              70,             103,     5.83,    62.14,    32.04,    67.96,  416
2021-2022,1,Accomack County ,540,Arcadia High,Science,Y,EOC,SOL,               3,              56,              50,              59,             109,     2.75,    51.38,    45.87,    54.13,  400
2021-2022,1,Accomack County ,704,Arcadia Middle ,Mathematics,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  517
2021-2022,1,Accomack County ,704,Arcadia Middle ,Mathematics,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  528
2021-2022,1,Accomack County ,580,Chincoteague High,English:Reading,N,EOC,SOL,               9,              14,               2,              23,              25,    36.00,    56.00,     8.00,    92.00,  474
2021-2022,1,Accomack County ,580,Chincoteague High,English:Reading,Y,EOC,SOL,               3,               8,               1,              11,              12,    25.00,    66.67,     8.33,    91.67,  458
2021-2022,1,Accomack County ,580,Chincoteague High,English:Writing,N,EOC,SOL,              14,              13,               3,              27,              30,    46.67,    43.33,    10.00,    90.00,  473
2021-2022,1,Accomack County ,580,Chincoteague High,English:Writing,Y,EOC,SOL,               1,               8,               1,               9,              10,    10.00,    80.00,    10.00,    90.00,  458
2021-2022,1,Accomack County ,580,Chincoteague High,History and Social Science,N,EOC,SOL,               1,              15,              13,              16,              29,     3.45,    51.72,    44.83,    55.17,  405
2021-2022,1,Accomack County ,580,Chincoteague High,History and Social Science,Y,EOC,SOL,               2,               5,              16,               7,              23,     8.70,    21.74,    69.57,    30.43,  399
2021-2022,1,Accomack County ,580,Chincoteague High,Mathematics,N,EOC,SOL,               6,              18,               2,              24,              26,    23.08,    69.23,     7.69,    92.31,  463
2021-2022,1,Accomack County ,580,Chincoteague High,Mathematics,Y,EOC,SOL,               1,              16,               1,              17,              18,     5.56,    88.89,     5.56,    94.44,  449
2021-2022,1,Accomack County ,580,Chincoteague High,Science,N,EOC,SOL,               3,              23,               4,              26,              30,    10.00,    76.67,    13.33,    86.67,  447
2021-2022,1,Accomack County ,580,Chincoteague High,Science,Y,EOC,SOL,               0,              13,               3,              13,              16,      .00,    81.25,    18.75,    81.25,  426
2021-2022,1,Accomack County ,70,Nandua High,English:Reading,N,EOC,SOL,              17,              50,               6,              67,              73,    23.29,    68.49,     8.22,    91.78,  462
2021-2022,1,Accomack County ,70,Nandua High,English:Reading,Y,EOC,SOL,               8,              55,              14,              63,              77,    10.39,    71.43,    18.18,    81.82,  434
2021-2022,1,Accomack County ,70,Nandua High,English:Writing,N,EOC,SOL,              18,              57,              25,              75,             100,    18.00,    57.00,    25.00,    75.00,  433
2021-2022,1,Accomack County ,70,Nandua High,English:Writing,Y,EOC,SOL,               5,              34,              22,              39,              61,     8.20,    55.74,    36.07,    63.93,  413
2021-2022,1,Accomack County ,70,Nandua High,History and Social Science,N,EOC,SOL,               4,              60,              64,              64,             128,     3.13,    46.88,    50.00,    50.00,  398
2021-2022,1,Accomack County ,70,Nandua High,History and Social Science,Y,EOC,SOL,               2,              42,              75,              44,             119,     1.68,    35.29,    63.03,    36.97,  382
2021-2022,1,Accomack County ,70,Nandua High,Mathematics,N,EOC,SOL,               7,              64,               6,              71,              77,     9.09,    83.12,     7.79,    92.21,  445
2021-2022,1,Accomack County ,70,Nandua High,Mathematics,Y,EOC,SOL,               1,              87,              10,              88,              98,     1.02,    88.78,    10.20,    89.80,  432
2021-2022,1,Accomack County ,70,Nandua High,Science,N,EOC,SOL,              12,              51,              16,              63,              79,    15.19,    64.56,    20.25,    79.75,  438
2021-2022,1,Accomack County ,70,Nandua High,Science,Y,EOC,SOL,               4,              53,              24,              57,              81,     4.94,    65.43,    29.63,    70.37,  420
2021-2022,1,Accomack County ,703,Nandua Middle,Mathematics,N,EOC,SOL,               8,               9,               0,              17,              17,    47.06,    52.94,      .00,100.00,  486
2021-2022,1,Accomack County ,703,Nandua Middle,Mathematics,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,English:Reading,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,English:Writing,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  459
2021-2022,1,Accomack County ,530,Tangier Combined,History and Social Science,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,History and Social Science,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,Mathematics,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,Science,N,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,1,Accomack County ,530,Tangier Combined,Science,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,2,Albemarle County ,880,Albemarle High,English:Reading,N,EOC,SOL,             138,             153,              37,             291,             328,    42.07,    46.65,    11.28,    88.72,  479
2021-2022,2,Albemarle County ,880,Albemarle High,English:Reading,Y,EOC,SOL,              14,              84,              58,              98,             156,     8.97,    53.85,    37.18,    62.82,  415
2021-2022,2,Albemarle County ,880,Albemarle High,English:Writing,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,2,Albemarle County ,880,Albemarle High,English:Writing,Y,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,2,Albemarle County ,880,Albemarle High,History and Social Science,N,EOC,SOL,              70,             227,             100,             297,             397,    17.63,    57.18,    25.19,    74.81,  439
2021-2022,2,Albemarle County ,880,Albemarle High,History and Social Science,Y,EOC,SOL,               7,              86,             140,              93,             233,     3.00,    36.91,    60.09,    39.91,  388
2021-2022,2,Albemarle County ,880,Albemarle High,Mathematics,N,EOC,SOL,              40,             234,              86,             274,             360,    11.11,    65.00,    23.89,    76.11,  433
2021-2022,2,Albemarle County ,880,Albemarle High,Mathematics,Y,EOC,SOL,               0,              97,              93,              97,             190,      .00,    51.05,    48.95,    51.05,  397
2021-2022,2,Albemarle County ,880,Albemarle High,Science,N,EOC,SOL,              50,             293,             138,             343,             481,    10.40,    60.91,    28.69,    71.31,  428
2021-2022,2,Albemarle County ,880,Albemarle High,Science,Y,EOC,SOL,               6,             105,             157,             111,             268,     2.24,    39.18,    58.58,    41.42,  387
2021-2022,2,Albemarle County ,890,Community Lab School,English:Reading,N,EOC,SOL,               5,              21,               1,              26,              27,    18.52,    77.78,     3.70,    96.30,  469
2021-2022,2,Albemarle County ,890,Community Lab School,English:Reading,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,2,Albemarle County ,890,Community Lab School,English:Writing,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,2,Albemarle County ,890,Community Lab School,History and Social Science,N,EOC,SOL,               0,              19,              10,              19,              29,      .00,    65.52,    34.48,    65.52,  413
2021-2022,2,Albemarle County ,890,Community Lab School,History and Social Science,Y,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,N,EOC,SOL,               1,              42,              16,              43,              59,     1.69,    71.19,    27.12,    72.88,  412
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,2,Albemarle County ,890,Community Lab School,Science,N,EOC,SOL,               7,              35,               5,              42,              47,    14.89,    74.47,    10.64,    89.36,  436
2021-2022,2,Albemarle County ,890,Community Lab School,Science,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  413
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,N,EOC,SOL,              27,              97,              10,             124,             134,    20.15,    72.39,     7.46,    92.54,  446
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,Y,EOC,SOL,               5,              36,               4,              41,              45,    11.11,    80.00,     8.89,    91.11,  450
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,N,EOC,SOL,              66,              71,               4,             137,             141,    46.81,    50.35,     2.84,    97.16,  496
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,Y,EOC,SOL,               4,              25,               5,              29,              34,    11.76,    73.53,    14.71,    85.29,  436
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,N,EOC,SOL,              54,             205,              15,             259,             274,    19.71,    74.82,     5.47,    94.53,  462
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  441
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,N,EOC,SOL,              39,             140,               6,             179,             185,    21.08,    75.68,     3.24,    96.76,  464
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,Y,EOC,SOL,               2,              21,               1,              23,              24,     8.33,    87.50,     4.17,    95.83,  442
2021-2022,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,N,EOC,SOL,              16,              57,              10,              73,              83,    19.28,    68.67,    12.05,    87.95,  438
2021-2022,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,Y,EOC,SOL,               1,              13,               2,              14,              16,     6.25,    81.25,    12.50,    87.50,  421
2021-2022,2,Albemarle County ,1052,Monticello High,English:Reading,N,EOC,SOL,              78,             139,              10,             217,             227,    34.36,    61.23,     4.41,    95.59,  478
2021-2022,2,Albemarle County ,1052,Monticello High,English:Reading,Y,EOC,SOL,              13,              63,              35,              76,             111,    11.71,    56.76,    31.53,    68.47,  423
2021-2022,2,Albemarle County ,1052,Monticello High,History and Social Science,N,EOC,SOL,              10,             147,              51,             157,             208,     4.81,    70.67,    24.52,    75.48,  427
2021-2022,2,Albemarle County ,1052,Monticello High,History and Social Science,Y,EOC,SOL,               2,              55,              66,              57,             123,     1.63,    44.72,    53.66,    46.34,  389
2021-2022,2,Albemarle County ,1052,Monticello High,Mathematics,N,EOC,SOL,              10,             149,              69,             159,             228,     4.39,    65.35,    30.26,    69.74,  417
2021-2022,2,Albemarle County ,1052,Monticello High,Mathematics,Y,EOC,SOL,               2,              64,              58,              66,             124,     1.61,    51.61,    46.77,    53.23,  398
2021-2022,2,Albemarle County ,1052,Monticello High,Science,N,EOC,SOL,              18,             173,              84,             191,             275,     6.55,    62.91,    30.55,    69.45,  419
2021-2022,2,Albemarle County ,1052,Monticello High,Science,Y,EOC,SOL,               2,              72,             107,              74,             181,     1.10,    39.78,    59.12,    40.88,  388
2021-2022,2,Albemarle County ,140,Western Albemarle High,English:Reading,N,EOC,SOL,             131,             126,               4,             257,             261,    50.19,    48.28,     1.53,    98.47,  500
2021-2022,2,Albemarle County ,140,Western Albemarle High,English:Reading,Y,EOC,SOL,              10,              22,               7,              32,              39,    25.64,    56.41,    17.95,    82.05,  449
2021-2022,2,Albemarle County ,140,Western Albemarle High,English:Writing,N,EOC,SOL,              20,              15,               5,              35,              40,    50.00,    37.50,    12.50,    87.50,  485
2021-2022,2,Albemarle County ,140,Western Albemarle High,English:Writing,Y,EOC,SOL,               1,               8,               5,               9,              14,     7.14,    57.14,    35.71,    64.29,  417
2021-2022,2,Albemarle County ,140,Western Albemarle High,History and Social Science,N,EOC,SOL,              37,             197,              45,             234,             279,    13.26,    70.61,    16.13,    83.87,  443
2021-2022,2,Albemarle County ,140,Western Albemarle High,History and Social Science,Y,EOC,SOL,               0,              18,              33,              18,              51,      .00,    35.29,    64.71,    35.29,  382
2021-2022,2,Albemarle County ,140,Western Albemarle High,Mathematics,N,EOC,SOL,              16,             217,              62,             233,             295,     5.42,    73.56,    21.02,    78.98,  425
2021-2022,2,Albemarle County ,140,Western Albemarle High,Mathematics,Y,EOC,SOL,               0,              22,              31,              22,              53,      .00,    41.51,    58.49,    41.51,  396
2021-2022,2,Albemarle County ,140,Western Albemarle High,Science,N,EOC,SOL,              74,             256,              46,             330,             376,    19.68,    68.09,    12.23,    87.77,  450
2021-2022,2,Albemarle County ,140,Western Albemarle High,Science,Y,EOC,SOL,               1,              38,              31,              39,              70,     1.43,    54.29,    44.29,    55.71,  400
2021-2022,101,Alexandria City ,210,Alexandria City High,English:Reading,N,EOC,SOL,             171,             162,              35,             333,             368,    46.47,    44.02,     9.51,    90.49,  485
2021-2022,101,Alexandria City ,210,Alexandria City High,English:Reading,Y,EOC,SOL,              67,             348,             313,             415,             728,     9.20,    47.80,    42.99,    57.01,  411
2021-2022,101,Alexandria City ,210,Alexandria City High,English:Writing,N,EOC,SOL,             118,             111,              38,             229,             267,    44.19,    41.57,    14.23,    85.77,  480
2021-2022,101,Alexandria City ,210,Alexandria City High,English:Writing,Y,EOC,SOL,              71,             270,             225,             341,             566,    12.54,    47.70,    39.75,    60.25,  415
2021-2022,101,Alexandria City ,210,Alexandria City High,History and Social Science,N,EOC,SOL,              41,             276,             169,             317,             486,     8.44,    56.79,    34.77,    65.23,  421
2021-2022,101,Alexandria City ,210,Alexandria City High,History and Social Science,Y,EOC,SOL,               6,             313,             706,             319,"           1,025",      .59,    30.54,    68.88,    31.12,  381
2021-2022,101,Alexandria City ,210,Alexandria City High,Mathematics,N,EOC,SOL,              12,             327,             184,             339,             523,     2.29,    62.52,    35.18,    64.82,  413
2021-2022,101,Alexandria City ,210,Alexandria City High,Mathematics,Y,EOC,SOL,               8,             316,             592,             324,             916,      .87,    34.50,    64.63,    35.37,  387
2021-2022,101,Alexandria City ,210,Alexandria City High,Science,N,EOC,SOL,              84,             305,             108,             389,             497,    16.90,    61.37,    21.73,    78.27,  446
2021-2022,101,Alexandria City ,210,Alexandria City High,Science,Y,EOC,SOL,              18,             325,             648,             343,             991,     1.82,    32.80,    65.39,    34.61,  384
2021-2022,101,Alexandria City ,140,Francis C. Hammond Middle,Mathematics,N,EOC,SOL,               9,              77,              49,              86,             135,     6.67,    57.04,    36.30,    63.70,  422
2021-2022,101,Alexandria City ,140,Francis C. Hammond Middle,Mathematics,Y,EOC,SOL,              13,             206,             204,             219,             423,     3.07,    48.70,    48.23,    51.77,  401
2021-2022,101,Alexandria City ,130,George Washington Middle,Mathematics,N,EOC,SOL,              56,             264,              38,             320,             358,    15.64,    73.74,    10.61,    89.39,  449
2021-2022,101,Alexandria City ,130,George Washington Middle,Mathematics,Y,EOC,SOL,               3,             110,             168,             113,             281,     1.07,    39.15,    59.79,    40.21,  394
2021-2022,101,Alexandria City ,90,Jefferson-Houston PK-8 School,Mathematics,N,EOC,SOL,               1,              11,               4,              12,              16,     6.25,    68.75,    25.00,    75.00,  436
2021-2022,101,Alexandria City ,90,Jefferson-Houston PK-8 School,Mathematics,Y,EOC,SOL,               0,              16,              41,              16,              57,      .00,    28.07,    71.93,    28.07,  379
2021-2022,101,Alexandria City ,50,Patrick Henry K-8 School,Mathematics,N,EOC,SOL,               0,              16,               7,              16,              23,      .00,    69.57,    30.43,    69.57,  424
2021-2022,101,Alexandria City ,50,Patrick Henry K-8 School,Mathematics,Y,EOC,SOL,               0,              27,              15,              27,              42,      .00,    64.29,    35.71,    64.29,  409
2021-2022,3,Alleghany County ,310,Alleghany High,English:Reading,N,EOC,SOL,              24,              65,              19,              89,             108,    22.22,    60.19,    17.59,    82.41,  447
2021-2022,3,Alleghany County ,310,Alleghany High,English:Reading,Y,EOC,SOL,               7,              39,              13,              46,              59,    11.86,    66.10,    22.03,    77.97,  433
2021-2022,3,Alleghany County ,310,Alleghany High,English:Writing,N,EOC,SOL,              10,              45,              30,              55,              85,    11.76,    52.94,    35.29,    64.71,  415
2021-2022,3,Alleghany County ,310,Alleghany High,English:Writing,Y,EOC,SOL,               3,              20,              43,              23,              66,     4.55,    30.30,    65.15,    34.85,  383
2021-2022,3,Alleghany County ,310,Alleghany High,History and Social Science,N,EOC,SOL,               5,              53,              48,              58,             106,     4.72,    50.00,    45.28,    54.72,  400
2021-2022,3,Alleghany County ,310,Alleghany High,History and Social Science,Y,EOC,SOL,               2,              47,              60,              49,             109,     1.83,    43.12,    55.05,    44.95,  391
2021-2022,3,Alleghany County ,310,Alleghany High,Mathematics,N,EOC,SOL,               1,              68,              12,              69,              81,     1.23,    83.95,    14.81,    85.19,  426
2021-2022,3,Alleghany County ,310,Alleghany High,Mathematics,Y,EOC,SOL,               0,              57,              20,              57,              77,      .00,    74.03,    25.97,    74.03,  416
2021-2022,3,Alleghany County ,310,Alleghany High,Science,N,EOC,SOL,               9,              58,              44,              67,             111,     8.11,    52.25,    39.64,    60.36,  414
2021-2022,3,Alleghany County ,310,Alleghany High,Science,Y,EOC,SOL,               3,              32,              47,              35,              82,     3.66,    39.02,    57.32,    42.68,  392
2021-2022,3,Alleghany County ,1040,Clifton Middle,Mathematics,N,EOC,SOL,               1,              14,               1,              15,              16,     6.25,    87.50,     6.25,    93.75,  455
2021-2022,3,Alleghany County ,1040,Clifton Middle,Mathematics,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,4,Amelia County ,10,Amelia County High,English:Reading,N,EOC,SOL,              17,              53,              17,              70,              87,    19.54,    60.92,    19.54,    80.46,  446
2021-2022,4,Amelia County ,10,Amelia County High,English:Reading,Y,EOC,SOL,               3,              31,              15,              34,              49,     6.12,    63.27,    30.61,    69.39,  419
2021-2022,4,Amelia County ,10,Amelia County High,English:Writing,Y,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,4,Amelia County ,10,Amelia County High,History and Social Science,N,EOC,SOL,               4,              54,              41,              58,              99,     4.04,    54.55,    41.41,    58.59,  408
2021-2022,4,Amelia County ,10,Amelia County High,History and Social Science,Y,EOC,SOL,               4,              27,              41,              31,              72,     5.56,    37.50,    56.94,    43.06,  387
2021-2022,4,Amelia County ,10,Amelia County High,Mathematics,N,EOC,SOL,               0,              76,              19,              76,              95,      .00,    80.00,    20.00,    80.00,  408
2021-2022,4,Amelia County ,10,Amelia County High,Mathematics,Y,EOC,SOL,               0,              39,              19,              39,              58,      .00,    67.24,    32.76,    67.24,  401
2021-2022,4,Amelia County ,10,Amelia County High,Science,N,EOC,SOL,               7,              95,              54,             102,             156,     4.49,    60.90,    34.62,    65.38,  409
2021-2022,4,Amelia County ,10,Amelia County High,Science,Y,EOC,SOL,               1,              62,              53,              63,             116,      .86,    53.45,    45.69,    54.31,  393
2021-2022,4,Amelia County ,210,Amelia County Middle,Mathematics,N,EOC,SOL,               3,              29,               4,              32,              36,     8.33,    80.56,    11.11,    88.89,  447
2021-2022,4,Amelia County ,210,Amelia County Middle,Mathematics,Y,EOC,SOL,               0,              19,               0,              19,              19,      .00,   100.00,      .00,100.00,  445
2021-2022,5,Amherst County ,750,Amherst County High,English:Reading,N,EOC,SOL,              38,             100,              16,             138,             154,    24.68,    64.94,    10.39,    89.61,  461
2021-2022,5,Amherst County ,750,Amherst County High,English:Reading,Y,EOC,SOL,              23,              96,              25,             119,             144,    15.97,    66.67,    17.36,    82.64,  441
2021-2022,5,Amherst County ,750,Amherst County High,English:Writing,N,EOC,SOL,              42,              85,              26,             127,             153,    27.45,    55.56,    16.99,    83.01,  456
2021-2022,5,Amherst County ,750,Amherst County High,English:Writing,Y,EOC,SOL,              15,              71,              53,              86,             139,    10.79,    51.08,    38.13,    61.87,  422
2021-2022,5,Amherst County ,750,Amherst County High,History and Social Science,N,EOC,SOL,               0,              17,              41,              17,              58,      .00,    29.31,    70.69,    29.31,  381
2021-2022,5,Amherst County ,750,Amherst County High,History and Social Science,Y,EOC,SOL,               0,              16,              46,              16,              62,      .00,    25.81,    74.19,    25.81,  374
2021-2022,5,Amherst County ,750,Amherst County High,Mathematics,N,EOC,SOL,               1,             122,              44,             123,             167,      .60,    73.05,    26.35,    73.65,  417
2021-2022,5,Amherst County ,750,Amherst County High,Mathematics,Y,EOC,SOL,               1,             107,              75,             108,             183,      .55,    58.47,    40.98,    59.02,  404
2021-2022,5,Amherst County ,750,Amherst County High,Science,N,EOC,SOL,               9,              89,              49,              98,             147,     6.12,    60.54,    33.33,    66.67,  422
2021-2022,5,Amherst County ,750,Amherst County High,Science,Y,EOC,SOL,               3,              80,              86,              83,             169,     1.78,    47.34,    50.89,    49.11,  403
2021-2022,5,Amherst County ,670,Amherst Middle,History and Social Science,N,EOC,SOL,               6,              43,              14,              49,              63,     9.52,    68.25,    22.22,    77.78,  430
2021-2022,5,Amherst County ,670,Amherst Middle,History and Social Science,Y,EOC,SOL,               4,              38,              22,              42,              64,     6.25,    59.38,    34.38,    65.63,  417
2021-2022,5,Amherst County ,670,Amherst Middle,Mathematics,N,EOC,SOL,               6,              25,               1,              31,              32,    18.75,    78.13,     3.13,    96.88,  464
2021-2022,5,Amherst County ,670,Amherst Middle,Mathematics,Y,EOC,SOL,               1,              13,               2,              14,              16,     6.25,    81.25,    12.50,    87.50,  440
2021-2022,5,Amherst County ,670,Amherst Middle,Science,N,EOC,SOL,               6,              44,              12,              50,              62,     9.68,    70.97,    19.35,    80.65,  441
2021-2022,5,Amherst County ,670,Amherst Middle,Science,Y,EOC,SOL,               2,              47,              15,              49,              64,     3.13,    73.44,    23.44,    76.56,  423
2021-2022,5,Amherst County ,20,Monelison Middle,History and Social Science,N,EOC,SOL,               4,              38,              36,              42,              78,     5.13,    48.72,    46.15,    53.85,  407
2021-2022,5,Amherst County ,20,Monelison Middle,History and Social Science,Y,EOC,SOL,               0,              38,              70,              38,             108,      .00,    35.19,    64.81,    35.19,  379
2021-2022,5,Amherst County ,20,Monelison Middle,Mathematics,N,EOC,SOL,               2,              24,              13,              26,              39,     5.13,    61.54,    33.33,    66.67,  413
2021-2022,5,Amherst County ,20,Monelison Middle,Mathematics,Y,EOC,SOL,               0,              19,              11,              19,              30,      .00,    63.33,    36.67,    63.33,  405
2021-2022,5,Amherst County ,20,Monelison Middle,Science,N,EOC,SOL,               3,              46,              29,              49,              78,     3.85,    58.97,    37.18,    62.82,  413
2021-2022,5,Amherst County ,20,Monelison Middle,Science,Y,EOC,SOL,               0,              36,              69,              36,             105,      .00,    34.29,    65.71,    34.29,  385
2021-2022,6,Appomattox County ,260,Appomattox County High,English:Reading,N,EOC,SOL,              25,              66,               4,              91,              95,    26.32,    69.47,     4.21,    95.79,  465
2021-2022,6,Appomattox County ,260,Appomattox County High,English:Reading,Y,EOC,SOL,               7,              33,               9,              40,              49,    14.29,    67.35,    18.37,    81.63,  441
2021-2022,6,Appomattox County ,260,Appomattox County High,English:Writing,N,EOC,SOL,              11,              58,              17,              69,              86,    12.79,    67.44,    19.77,    80.23,  446
2021-2022,6,Appomattox County ,260,Appomattox County High,English:Writing,Y,EOC,SOL,               2,              37,              13,              39,              52,     3.85,    71.15,    25.00,    75.00,  426
2021-2022,6,Appomattox County ,260,Appomattox County High,History and Social Science,N,EOC,SOL,               9,              75,              33,              84,             117,     7.69,    64.10,    28.21,    71.79,  425
2021-2022,6,Appomattox County ,260,Appomattox County High,History and Social Science,Y,EOC,SOL,               2,              46,              45,              48,              93,     2.15,    49.46,    48.39,    51.61,  399
2021-2022,6,Appomattox County ,260,Appomattox County High,Mathematics,N,EOC,SOL,               1,              90,              17,              91,             108,      .93,    83.33,    15.74,    84.26,  433
2021-2022,6,Appomattox County ,260,Appomattox County High,Mathematics,Y,EOC,SOL,               0,              68,              27,              68,              95,      .00,    71.58,    28.42,    71.58,  412
2021-2022,6,Appomattox County ,260,Appomattox County High,Science,N,EOC,SOL,               7,              87,              15,              94,             109,     6.42,    79.82,    13.76,    86.24,  433
2021-2022,6,Appomattox County ,260,Appomattox County High,Science,Y,EOC,SOL,               1,              39,              30,              40,              70,     1.43,    55.71,    42.86,    57.14,  404
2021-2022,6,Appomattox County ,160,Appomattox Middle,Mathematics,N,EOC,SOL,              11,              17,               0,              28,              28,    39.29,    60.71,      .00,100.00,  492
2021-2022,6,Appomattox County ,160,Appomattox Middle,Mathematics,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  487
2021-2022,7,Arlington County ,618,Arlington Community High,English:Reading,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  445
2021-2022,7,Arlington County ,618,Arlington Community High,English:Reading,Y,EOC,SOL,               2,               6,               2,               8,              10,    20.00,    60.00,    20.00,    80.00,  439
2021-2022,7,Arlington County ,618,Arlington Community High,English:Writing,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  441
2021-2022,7,Arlington County ,618,Arlington Community High,English:Writing,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  423
2021-2022,7,Arlington County ,618,Arlington Community High,History and Social Science,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  420
2021-2022,7,Arlington County ,618,Arlington Community High,History and Social Science,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,7,Arlington County ,618,Arlington Community High,Mathematics,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,7,Arlington County ,618,Arlington Community High,Mathematics,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,7,Arlington County ,618,Arlington Community High,Science,N,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  409
2021-2022,7,Arlington County ,618,Arlington Community High,Science,Y,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,7,Arlington County ,628,Dorothy Hamm Middle,History and Social Science,N,EOC,SOL,              33,             194,              16,             227,             243,    13.58,    79.84,     6.58,    93.42,  453
2021-2022,7,Arlington County ,628,Dorothy Hamm Middle,History and Social Science,Y,EOC,SOL,               2,              31,              29,              33,              62,     3.23,    50.00,    46.77,    53.23,  402
2021-2022,7,Arlington County ,628,Dorothy Hamm Middle,Mathematics,N,EOC,SOL,              78,             110,               3,             188,             191,    40.84,    57.59,     1.57,    98.43,  488
2021-2022,7,Arlington County ,628,Dorothy Hamm Middle,Mathematics,Y,EOC,SOL,               3,              11,               3,              14,              17,    17.65,    64.71,    17.65,    82.35,  461
2021-2022,7,Arlington County ,611,Gunston Middle,History and Social Science,N,EOC,SOL,              18,             169,              43,             187,             230,     7.83,    73.48,    18.70,    81.30,  429
2021-2022,7,Arlington County ,611,Gunston Middle,History and Social Science,Y,EOC,SOL,               2,              74,              83,              76,             159,     1.26,    46.54,    52.20,    47.80,  387
2021-2022,7,Arlington County ,611,Gunston Middle,Mathematics,N,EOC,SOL,              24,              81,               8,             105,             113,    21.24,    71.68,     7.08,    92.92,  449
