School Year,Division Number,Division Name,School Number,School Name,Subject,Test Level,Test Source,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2021-2022,2,Albemarle County ,1052,Monticello High,Mathematics,EOC,SOL,              12,             213,             127,             225,             352,     3.41,    60.51,    36.08,    63.92,  411
2021-2022,2,Albemarle County ,1052,Monticello High,Science,EOC,SOL,              20,             245,             191,             265,             456,     4.39,    53.73,    41.89,    58.11,  407
2021-2022,2,Albemarle County ,140,Western Albemarle High,English:Reading,EOC,SOL,             141,             148,              11,             289,             300,    47.00,    49.33,     3.67,    96.33,  493
2021-2022,2,Albemarle County ,140,Western Albemarle High,English:Writing,EOC,SOL,              21,              23,              10,              44,              54,    38.89,    42.59,    18.52,    81.48,  468
2021-2022,2,Albemarle County ,140,Western Albemarle High,History and Social Science,EOC,SOL,              37,             215,              78,             252,             330,    11.21,    65.15,    23.64,    76.36,  434
2021-2022,2,Albemarle County ,140,Western Albemarle High,Mathematics,EOC,SOL,              16,             239,              93,             255,             348,     4.60,    68.68,    26.72,    73.28,  421
2021-2022,2,Albemarle County ,140,Western Albemarle High,Science,EOC,SOL,              75,             294,              77,             369,             446,    16.82,    65.92,    17.26,    82.74,  442
2021-2022,101,Alexandria City ,210,Alexandria City High,English:Reading,EOC,SOL,             238,             510,             348,             748,"           1,096",    21.72,    46.53,    31.75,    68.25,  436
2021-2022,101,Alexandria City ,210,Alexandria City High,English:Writing,EOC,SOL,             189,             381,             263,             570,             833,    22.69,    45.74,    31.57,    68.43,  436
2021-2022,101,Alexandria City ,210,Alexandria City High,History and Social Science,EOC,SOL,              47,             589,             875,             636,"           1,511",     3.11,    38.98,    57.91,    42.09,  394
2021-2022,101,Alexandria City ,210,Alexandria City High,Mathematics,EOC,SOL,              20,             643,             776,             663,"           1,439",     1.39,    44.68,    53.93,    46.07,  396
2021-2022,101,Alexandria City ,210,Alexandria City High,Science,EOC,SOL,             102,             630,             756,             732,"           1,488",     6.85,    42.34,    50.81,    49.19,  405
2021-2022,101,Alexandria City ,140,Francis C. Hammond Middle,Mathematics,EOC,SOL,              22,             283,             253,             305,             558,     3.94,    50.72,    45.34,    54.66,  406
2021-2022,101,Alexandria City ,130,George Washington Middle,Mathematics,EOC,SOL,              59,             374,             206,             433,             639,     9.23,    58.53,    32.24,    67.76,  425
2021-2022,101,Alexandria City ,90,Jefferson-Houston PK-8 School,Mathematics,EOC,SOL,               1,              27,              45,              28,              73,     1.37,    36.99,    61.64,    38.36,  392
2021-2022,101,Alexandria City ,50,Patrick Henry K-8 School,Mathematics,EOC,SOL,               0,              43,              22,              43,              65,      .00,    66.15,    33.85,    66.15,  414
2021-2022,3,Alleghany County ,310,Alleghany High,English:Reading,EOC,SOL,              31,             104,              32,             135,             167,    18.56,    62.28,    19.16,    80.84,  442
2021-2022,3,Alleghany County ,310,Alleghany High,English:Writing,EOC,SOL,              13,              65,              73,              78,             151,     8.61,    43.05,    48.34,    51.66,  401
2021-2022,3,Alleghany County ,310,Alleghany High,History and Social Science,EOC,SOL,               7,             100,             108,             107,             215,     3.26,    46.51,    50.23,    49.77,  396
2021-2022,3,Alleghany County ,310,Alleghany High,Mathematics,EOC,SOL,               1,             125,              32,             126,             158,      .63,    79.11,    20.25,    79.75,  421
2021-2022,3,Alleghany County ,310,Alleghany High,Science,EOC,SOL,              12,              90,              91,             102,             193,     6.22,    46.63,    47.15,    52.85,  404
2021-2022,3,Alleghany County ,1040,Clifton Middle,Mathematics,EOC,SOL,               1,              17,               1,              18,              19,     5.26,    89.47,     5.26,    94.74,  454
2021-2022,4,Amelia County ,10,Amelia County High,English:Reading,EOC,SOL,              20,              84,              32,             104,             136,    14.71,    61.76,    23.53,    76.47,  437
2021-2022,4,Amelia County ,10,Amelia County High,English:Writing,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,4,Amelia County ,10,Amelia County High,History and Social Science,EOC,SOL,               8,              81,              82,              89,             171,     4.68,    47.37,    47.95,    52.05,  399
2021-2022,4,Amelia County ,10,Amelia County High,Mathematics,EOC,SOL,               0,             115,              38,             115,             153,      .00,    75.16,    24.84,    75.16,  405
2021-2022,4,Amelia County ,10,Amelia County High,Science,EOC,SOL,               8,             157,             107,             165,             272,     2.94,    57.72,    39.34,    60.66,  402
2021-2022,4,Amelia County ,210,Amelia County Middle,Mathematics,EOC,SOL,               3,              48,               4,              51,              55,     5.45,    87.27,     7.27,    92.73,  447
2021-2022,5,Amherst County ,750,Amherst County High,English:Reading,EOC,SOL,              61,             196,              41,             257,             298,    20.47,    65.77,    13.76,    86.24,  451
2021-2022,5,Amherst County ,750,Amherst County High,English:Writing,EOC,SOL,              57,             156,              79,             213,             292,    19.52,    53.42,    27.05,    72.95,  440
2021-2022,5,Amherst County ,750,Amherst County High,History and Social Science,EOC,SOL,               0,              33,              87,              33,             120,      .00,    27.50,    72.50,    27.50,  377
2021-2022,5,Amherst County ,750,Amherst County High,Mathematics,EOC,SOL,               2,             229,             119,             231,             350,      .57,    65.43,    34.00,    66.00,  410
2021-2022,5,Amherst County ,750,Amherst County High,Science,EOC,SOL,              12,             169,             135,             181,             316,     3.80,    53.48,    42.72,    57.28,  412
2021-2022,5,Amherst County ,670,Amherst Middle,History and Social Science,EOC,SOL,              10,              81,              36,              91,             127,     7.87,    63.78,    28.35,    71.65,  424
2021-2022,5,Amherst County ,670,Amherst Middle,Mathematics,EOC,SOL,               7,              38,               3,              45,              48,    14.58,    79.17,     6.25,    93.75,  456
2021-2022,5,Amherst County ,670,Amherst Middle,Science,EOC,SOL,               8,              91,              27,              99,             126,     6.35,    72.22,    21.43,    78.57,  432
2021-2022,5,Amherst County ,20,Monelison Middle,History and Social Science,EOC,SOL,               4,              76,             106,              80,             186,     2.15,    40.86,    56.99,    43.01,  390
2021-2022,5,Amherst County ,20,Monelison Middle,Mathematics,EOC,SOL,               2,              43,              24,              45,              69,     2.90,    62.32,    34.78,    65.22,  409
2021-2022,5,Amherst County ,20,Monelison Middle,Science,EOC,SOL,               3,              82,              98,              85,             183,     1.64,    44.81,    53.55,    46.45,  397
2021-2022,6,Appomattox County ,260,Appomattox County High,English:Reading,EOC,SOL,              32,              99,              13,             131,             144,    22.22,    68.75,     9.03,    90.97,  457
2021-2022,6,Appomattox County ,260,Appomattox County High,English:Writing,EOC,SOL,              13,              95,              30,             108,             138,     9.42,    68.84,    21.74,    78.26,  438
2021-2022,6,Appomattox County ,260,Appomattox County High,History and Social Science,EOC,SOL,              11,             121,              78,             132,             210,     5.24,    57.62,    37.14,    62.86,  413
2021-2022,6,Appomattox County ,260,Appomattox County High,Mathematics,EOC,SOL,               1,             158,              44,             159,             203,      .49,    77.83,    21.67,    78.33,  423
2021-2022,6,Appomattox County ,260,Appomattox County High,Science,EOC,SOL,               8,             126,              45,             134,             179,     4.47,    70.39,    25.14,    74.86,  422
2021-2022,6,Appomattox County ,160,Appomattox Middle,Mathematics,EOC,SOL,              15,              20,               0,              35,              35,    42.86,    57.14,      .00,100.00,  491
2021-2022,7,Arlington County ,618,Arlington Community High,English:Reading,EOC,SOL,               4,              10,               3,              14,              17,    23.53,    58.82,    17.65,    82.35,  442
2021-2022,7,Arlington County ,618,Arlington Community High,English:Writing,EOC,SOL,               1,              11,               2,              12,              14,     7.14,    78.57,    14.29,    85.71,  431
2021-2022,7,Arlington County ,618,Arlington Community High,History and Social Science,EOC,SOL,               0,              10,               3,              10,              13,      .00,    76.92,    23.08,    76.92,  420
2021-2022,7,Arlington County ,618,Arlington Community High,Mathematics,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  403
2021-2022,7,Arlington County ,618,Arlington Community High,Science,EOC,SOL,               1,               7,               3,               8,              11,     9.09,    63.64,    27.27,    72.73,  409
2021-2022,7,Arlington County ,628,Dorothy Hamm Middle,History and Social Science,EOC,SOL,              35,             225,              45,             260,             305,    11.48,    73.77,    14.75,    85.25,  442
2021-2022,7,Arlington County ,628,Dorothy Hamm Middle,Mathematics,EOC,SOL,              81,             121,               6,             202,             208,    38.94,    58.17,     2.88,    97.12,  486
2021-2022,7,Arlington County ,611,Gunston Middle,History and Social Science,EOC,SOL,              20,             243,             126,             263,             389,     5.14,    62.47,    32.39,    67.61,  412
2021-2022,7,Arlington County ,611,Gunston Middle,Mathematics,EOC,SOL,              27,             104,               8,             131,             139,    19.42,    74.82,     5.76,    94.24,  449
2021-2022,7,Arlington County ,180,Jefferson Middle,History and Social Science,EOC,SOL,              14,             188,              80,             202,             282,     4.96,    66.67,    28.37,    71.63,  421
2021-2022,7,Arlington County ,180,Jefferson Middle,Mathematics,EOC,SOL,              29,             103,               2,             132,             134,    21.64,    76.87,     1.49,    98.51,  465
2021-2022,7,Arlington County ,500,Kenmore Middle,History and Social Science,EOC,SOL,              17,             183,             125,             200,             325,     5.23,    56.31,    38.46,    61.54,  411
2021-2022,7,Arlington County ,500,Kenmore Middle,Mathematics,EOC,SOL,              36,              73,               1,             109,             110,    32.73,    66.36,      .91,    99.09,  479
2021-2022,7,Arlington County ,240,Swanson Middle,History and Social Science,EOC,SOL,              64,             207,              48,             271,             319,    20.06,    64.89,    15.05,    84.95,  454
2021-2022,7,Arlington County ,240,Swanson Middle,Mathematics,EOC,SOL,              88,             109,               3,             197,             200,    44.00,    54.50,     1.50,    98.50,  483
2021-2022,7,Arlington County ,450,Wakefield High,English:Reading,EOC,SOL,             256,             452,             136,             708,             844,    30.33,    53.55,    16.11,    83.89,  463
2021-2022,7,Arlington County ,450,Wakefield High,English:Writing,EOC,SOL,             170,             339,             141,             509,             650,    26.15,    52.15,    21.69,    78.31,  454
2021-2022,7,Arlington County ,450,Wakefield High,History and Social Science,EOC,SOL,               5,              97,             161,             102,             263,     1.90,    36.88,    61.22,    38.78,  392
2021-2022,7,Arlington County ,450,Wakefield High,Mathematics,EOC,SOL,              47,             625,             155,             672,             827,     5.68,    75.57,    18.74,    81.26,  428
2021-2022,7,Arlington County ,450,Wakefield High,Science,EOC,SOL,              69,             484,             329,             553,             882,     7.82,    54.88,    37.30,    62.70,  418
2021-2022,7,Arlington County ,80,Washington-Liberty High,English:Reading,EOC,SOL,             277,             293,              69,             570,             639,    43.35,    45.85,    10.80,    89.20,  482
2021-2022,7,Arlington County ,80,Washington-Liberty High,English:Writing,EOC,SOL,             299,             260,              82,             559,             641,    46.65,    40.56,    12.79,    87.21,  486
2021-2022,7,Arlington County ,80,Washington-Liberty High,History and Social Science,EOC,SOL,              13,              95,             117,             108,             225,     5.78,    42.22,    52.00,    48.00,  397
2021-2022,7,Arlington County ,80,Washington-Liberty High,Mathematics,EOC,SOL,              77,             529,             124,             606,             730,    10.55,    72.47,    16.99,    83.01,  439
2021-2022,7,Arlington County ,80,Washington-Liberty High,Science,EOC,SOL,             151,             409,             174,             560,             734,    20.57,    55.72,    23.71,    76.29,  445
2021-2022,7,Arlington County ,480,Williamsburg Middle,History and Social Science,EOC,SOL,              41,             235,              14,             276,             290,    14.14,    81.03,     4.83,    95.17,  455
2021-2022,7,Arlington County ,480,Williamsburg Middle,Mathematics,EOC,SOL,             119,             113,               4,             232,             236,    50.42,    47.88,     1.69,    98.31,  492
2021-2022,7,Arlington County ,330,Yorktown High,English:Reading,EOC,SOL,             320,             354,              43,             674,             717,    44.63,    49.37,     6.00,    94.00,  488
2021-2022,7,Arlington County ,330,Yorktown High,English:Writing,EOC,SOL,             325,             324,              51,             649,             700,    46.43,    46.29,     7.29,    92.71,  490
2021-2022,7,Arlington County ,330,Yorktown High,History and Social Science,EOC,SOL,               3,              90,              54,              93,             147,     2.04,    61.22,    36.73,    63.27,  404
2021-2022,7,Arlington County ,330,Yorktown High,Mathematics,EOC,SOL,              75,             548,              83,             623,             706,    10.62,    77.62,    11.76,    88.24,  442
2021-2022,7,Arlington County ,330,Yorktown High,Science,EOC,SOL,             139,             480,              78,             619,             697,    19.94,    68.87,    11.19,    88.81,  454
2021-2022,8,Augusta County ,212,Beverley Manor Middle,History and Social Science,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,8,Augusta County ,212,Beverley Manor Middle,Mathematics,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,8,Augusta County ,660,Buffalo Gap High,English:Reading,EOC,SOL,              24,              74,              13,              98,             111,    21.62,    66.67,    11.71,    88.29,  455
2021-2022,8,Augusta County ,660,Buffalo Gap High,English:Writing,EOC,SOL,              18,              69,              27,              87,             114,    15.79,    60.53,    23.68,    76.32,  444
2021-2022,8,Augusta County ,660,Buffalo Gap High,History and Social Science,EOC,SOL,              18,              93,              31,             111,             142,    12.68,    65.49,    21.83,    78.17,  440
2021-2022,8,Augusta County ,660,Buffalo Gap High,Mathematics,EOC,SOL,              13,             108,               9,             121,             130,    10.00,    83.08,     6.92,    93.08,  452
2021-2022,8,Augusta County ,660,Buffalo Gap High,Science,EOC,SOL,              25,             163,              50,             188,             238,    10.50,    68.49,    21.01,    78.99,  434
2021-2022,8,Augusta County ,670,Fort Defiance High,English:Reading,EOC,SOL,              67,             104,              20,             171,             191,    35.08,    54.45,    10.47,    89.53,  475
2021-2022,8,Augusta County ,670,Fort Defiance High,English:Writing,EOC,SOL,              59,              94,              37,             153,             190,    31.05,    49.47,    19.47,    80.53,  463
2021-2022,8,Augusta County ,670,Fort Defiance High,History and Social Science,EOC,SOL,              21,             141,              47,             162,             209,    10.05,    67.46,    22.49,    77.51,  431
2021-2022,8,Augusta County ,670,Fort Defiance High,Mathematics,EOC,SOL,              10,             177,              13,             187,             200,     5.00,    88.50,     6.50,    93.50,  440
2021-2022,8,Augusta County ,670,Fort Defiance High,Science,EOC,SOL,              21,             180,              56,             201,             257,     8.17,    70.04,    21.79,    78.21,  428
2021-2022,8,Augusta County ,680,Riverheads High,English:Reading,EOC,SOL,              32,              77,               5,             109,             114,    28.07,    67.54,     4.39,    95.61,  470
2021-2022,8,Augusta County ,680,Riverheads High,English:Writing,EOC,SOL,              23,              71,              20,              94,             114,    20.18,    62.28,    17.54,    82.46,  449
2021-2022,8,Augusta County ,680,Riverheads High,History and Social Science,EOC,SOL,              11,              92,              27,             103,             130,     8.46,    70.77,    20.77,    79.23,  434
2021-2022,8,Augusta County ,680,Riverheads High,Mathematics,EOC,SOL,               7,             110,              14,             117,             131,     5.34,    83.97,    10.69,    89.31,  439
2021-2022,8,Augusta County ,680,Riverheads High,Science,EOC,SOL,              27,             173,              45,             200,             245,    11.02,    70.61,    18.37,    81.63,  437
2021-2022,8,Augusta County ,90,S. Gordon Stewart Middle,History and Social Science,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,8,Augusta County ,90,S. Gordon Stewart Middle,Mathematics,EOC,SOL,               9,              43,               0,              52,              52,    17.31,    82.69,      .00,100.00,  466
2021-2022,8,Augusta County ,730,Stuarts Draft High,English:Reading,EOC,SOL,              39,             113,              20,             152,             172,    22.67,    65.70,    11.63,    88.37,  460
2021-2022,8,Augusta County ,730,Stuarts Draft High,English:Writing,EOC,SOL,              41,             101,              29,             142,             171,    23.98,    59.06,    16.96,    83.04,  454
2021-2022,8,Augusta County ,730,Stuarts Draft High,History and Social Science,EOC,SOL,              17,             131,              58,             148,             206,     8.25,    63.59,    28.16,    71.84,  426
2021-2022,8,Augusta County ,730,Stuarts Draft High,Mathematics,EOC,SOL,               3,             138,              36,             141,             177,     1.69,    77.97,    20.34,    79.66,  422
2021-2022,8,Augusta County ,730,Stuarts Draft High,Science,EOC,SOL,              31,             225,             119,             256,             375,     8.27,    60.00,    31.73,    68.27,  422
2021-2022,8,Augusta County ,60,Stuarts Draft Middle,Mathematics,EOC,SOL,               7,              28,               0,              35,              35,    20.00,    80.00,      .00,100.00,  469
2021-2022,8,Augusta County ,720,Wilson Memorial High,English:Reading,EOC,SOL,              41,             123,              18,             164,             182,    22.53,    67.58,     9.89,    90.11,  463
2021-2022,8,Augusta County ,720,Wilson Memorial High,English:Writing,EOC,SOL,              50,             103,              33,             153,             186,    26.88,    55.38,    17.74,    82.26,  454
2021-2022,8,Augusta County ,720,Wilson Memorial High,History and Social Science,EOC,SOL,              35,             150,              53,             185,             238,    14.71,    63.03,    22.27,    77.73,  435
2021-2022,8,Augusta County ,720,Wilson Memorial High,Mathematics,EOC,SOL,              11,             201,              48,             212,             260,     4.23,    77.31,    18.46,    81.54,  430
2021-2022,8,Augusta County ,720,Wilson Memorial High,Science,EOC,SOL,              38,             280,             103,             318,             421,     9.03,    66.51,    24.47,    75.53,  431
2021-2022,8,Augusta County ,844,Wilson Middle,History and Social Science,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,8,Augusta County ,844,Wilson Middle,Mathematics,EOC,SOL,              17,              13,               0,              30,              30,    56.67,    43.33,      .00,100.00,  502
2021-2022,9,Bath County ,140,Bath County High,English:Reading,EOC,SOL,              13,              24,               2,              37,              39,    33.33,    61.54,     5.13,    94.87,  465
2021-2022,9,Bath County ,140,Bath County High,English:Writing,EOC,SOL,               4,              21,               0,              25,              25,    16.00,    84.00,      .00,100.00,  465
2021-2022,9,Bath County ,140,Bath County High,History and Social Science,EOC,SOL,               3,              21,              17,              24,              41,     7.32,    51.22,    41.46,    58.54,  411
2021-2022,9,Bath County ,140,Bath County High,Mathematics,EOC,SOL,               1,              38,               2,              39,              41,     2.44,    92.68,     4.88,    95.12,  435
2021-2022,9,Bath County ,140,Bath County High,Science,EOC,SOL,               1,              28,               8,              29,              37,     2.70,    75.68,    21.62,    78.38,  427
2021-2022,10,Bedford County ,1211,Forest Middle,History and Social Science,EOC,SOL,              37,             207,              57,             244,             301,    12.29,    68.77,    18.94,    81.06,  439
2021-2022,10,Bedford County ,1211,Forest Middle,Mathematics,EOC,SOL,              23,             162,              19,             185,             204,    11.27,    79.41,     9.31,    90.69,  447
2021-2022,10,Bedford County ,1211,Forest Middle,Science,EOC,SOL,              16,             228,              62,             244,             306,     5.23,    74.51,    20.26,    79.74,  428
2021-2022,10,Bedford County ,1212,Jefferson Forest High,English:Reading,EOC,SOL,             104,             215,              29,             319,             348,    29.89,    61.78,     8.33,    91.67,  469
2021-2022,10,Bedford County ,1212,Jefferson Forest High,English:Writing,EOC,SOL,             123,             167,              37,             290,             327,    37.61,    51.07,    11.31,    88.69,  478
2021-2022,10,Bedford County ,1212,Jefferson Forest High,History and Social Science,EOC,SOL,               1,              27,              54,              28,              82,     1.22,    32.93,    65.85,    34.15,  381
2021-2022,10,Bedford County ,1212,Jefferson Forest High,Mathematics,EOC,SOL,              24,             263,              25,             287,             312,     7.69,    84.29,     8.01,    91.99,  444
2021-2022,10,Bedford County ,1212,Jefferson Forest High,Science,EOC,SOL,              41,             211,              75,             252,             327,    12.54,    64.53,    22.94,    77.06,  434
2021-2022,10,Bedford County ,1180,Liberty High,English:Reading,EOC,SOL,              28,              96,              22,             124,             146,    19.18,    65.75,    15.07,    84.93,  456
2021-2022,10,Bedford County ,1180,Liberty High,English:Writing,EOC,SOL,              25,              83,              30,             108,             138,    18.12,    60.14,    21.74,    78.26,  447
2021-2022,10,Bedford County ,1180,Liberty High,History and Social Science,EOC,SOL,               1,              16,              48,              17,              65,     1.54,    24.62,    73.85,    26.15,  379
2021-2022,10,Bedford County ,1180,Liberty High,Mathematics,EOC,SOL,               8,             156,              32,             164,             196,     4.08,    79.59,    16.33,    83.67,  427
2021-2022,10,Bedford County ,1180,Liberty High,Science,EOC,SOL,              11,             146,              80,             157,             237,     4.64,    61.60,    33.76,    66.24,  412
2021-2022,10,Bedford County ,490,Liberty Middle,History and Social Science,EOC,SOL,               2,              67,             104,              69,             173,     1.16,    38.73,    60.12,    39.88,  391
2021-2022,10,Bedford County ,490,Liberty Middle,Mathematics,EOC,SOL,              13,              37,               2,              50,              52,    25.00,    71.15,     3.85,    96.15,  461
2021-2022,10,Bedford County ,490,Liberty Middle,Science,EOC,SOL,               8,             100,              50,             108,             158,     5.06,    63.29,    31.65,    68.35,  420
2021-2022,10,Bedford County ,1190,Staunton River High,English:Reading,EOC,SOL,              34,             123,              36,             157,             193,    17.62,    63.73,    18.65,    81.35,  445
2021-2022,10,Bedford County ,1190,Staunton River High,English:Writing,EOC,SOL,              34,              87,              70,             121,             191,    17.80,    45.55,    36.65,    63.35,  432
2021-2022,10,Bedford County ,1190,Staunton River High,History and Social Science,EOC,SOL,               1,              29,              69,              30,              99,     1.01,    29.29,    69.70,    30.30,  376
2021-2022,10,Bedford County ,1190,Staunton River High,Mathematics,EOC,SOL,               6,             211,              77,             217,             294,     2.04,    71.77,    26.19,    73.81,  414
2021-2022,10,Bedford County ,1190,Staunton River High,Science,EOC,SOL,              10,             174,             136,             184,             320,     3.13,    54.38,    42.50,    57.50,  405
2021-2022,10,Bedford County ,1191,Staunton River Middle,History and Social Science,EOC,SOL,               3,              81,             107,              84,             191,     1.57,    42.41,    56.02,    43.98,  399
2021-2022,10,Bedford County ,1191,Staunton River Middle,Mathematics,EOC,SOL,               4,              35,               3,              39,              42,     9.52,    83.33,     7.14,    92.86,  453
2021-2022,10,Bedford County ,1191,Staunton River Middle,Science,EOC,SOL,               2,             107,              89,             109,             198,     1.01,    54.04,    44.95,    55.05,  404
2021-2022,11,Bland County ,260,Bland County High,English:Reading,EOC,SOL,              15,              39,               2,              54,              56,    26.79,    69.64,     3.57,    96.43,  473
2021-2022,11,Bland County ,260,Bland County High,English:Writing,EOC,SOL,               8,              23,               6,              31,              37,    21.62,    62.16,    16.22,    83.78,  454
2021-2022,11,Bland County ,260,Bland County High,History and Social Science,EOC,SOL,               7,              52,              18,              59,              77,     9.09,    67.53,    23.38,    76.62,  432
2021-2022,11,Bland County ,260,Bland County High,Mathematics,EOC,SOL,               7,              78,              16,              85,             101,     6.93,    77.23,    15.84,    84.16,  433
2021-2022,11,Bland County ,260,Bland County High,Science,EOC,SOL,               9,              57,              18,              66,              84,    10.71,    67.86,    21.43,    78.57,  431
2021-2022,12,Botetourt County ,420,Central Academy Middle,Mathematics,EOC,SOL,              30,              13,               0,              43,              43,    69.77,    30.23,      .00,100.00,  522
2021-2022,12,Botetourt County ,430,James River High,English:Reading,EOC,SOL,              27,              92,              15,             119,             134,    20.15,    68.66,    11.19,    88.81,  456
2021-2022,12,Botetourt County ,430,James River High,History and Social Science,EOC,SOL,               4,              92,              21,              96,             117,     3.42,    78.63,    17.95,    82.05,  429
2021-2022,12,Botetourt County ,430,James River High,Mathematics,EOC,SOL,               2,             101,              19,             103,             122,     1.64,    82.79,    15.57,    84.43,  428
2021-2022,12,Botetourt County ,430,James River High,Science,EOC,SOL,               6,             117,              39,             123,             162,     3.70,    72.22,    24.07,    75.93,  423
2021-2022,12,Botetourt County ,440,Lord Botetourt High,English:Reading,EOC,SOL,              69,             150,              14,             219,             233,    29.61,    64.38,     6.01,    93.99,  471
2021-2022,12,Botetourt County ,440,Lord Botetourt High,History and Social Science,EOC,SOL,              21,             171,              67,             192,             259,     8.11,    66.02,    25.87,    74.13,  429
2021-2022,12,Botetourt County ,440,Lord Botetourt High,Mathematics,EOC,SOL,              22,             210,              23,             232,             255,     8.63,    82.35,     9.02,    90.98,  439
2021-2022,12,Botetourt County ,440,Lord Botetourt High,Science,EOC,SOL,              28,             249,             101,             277,             378,     7.41,    65.87,    26.72,    73.28,  423
2021-2022,12,Botetourt County ,450,Read Mountain Middle,Mathematics,EOC,SOL,              47,             108,               2,             155,             157,    29.94,    68.79,     1.27,    98.73,  482
2021-2022,102,Bristol City ,80,Virginia High,English:Reading,EOC,SOL,              39,              90,              27,             129,             156,    25.00,    57.69,    17.31,    82.69,  450
2021-2022,102,Bristol City ,80,Virginia High,History and Social Science,EOC,SOL,               5,              82,              88,              87,             175,     2.86,    46.86,    50.29,    49.71,  391
2021-2022,102,Bristol City ,80,Virginia High,Mathematics,EOC,SOL,              11,             152,              43,             163,             206,     5.34,    73.79,    20.87,    79.13,  426
2021-2022,102,Bristol City ,80,Virginia High,Science,EOC,SOL,              13,              94,              60,             107,             167,     7.78,    56.29,    35.93,    64.07,  413
2021-2022,102,Bristol City ,10,Virginia Middle,History and Social Science,EOC,SOL,              12,              22,               1,              34,              35,    34.29,    62.86,     2.86,    97.14,  472
2021-2022,102,Bristol City ,10,Virginia Middle,Mathematics,EOC,SOL,              11,              22,               0,              33,              33,    33.33,    66.67,      .00,100.00,  488
2021-2022,13,Brunswick County ,650,Brunswick High,English:Reading,EOC,SOL,              14,              70,              31,              84,             115,    12.17,    60.87,    26.96,    73.04,  429
2021-2022,13,Brunswick County ,650,Brunswick High,English:Writing,EOC,SOL,               9,              58,              47,              67,             114,     7.89,    50.88,    41.23,    58.77,  406
2021-2022,13,Brunswick County ,650,Brunswick High,History and Social Science,EOC,SOL,               3,              57,              74,              60,             134,     2.24,    42.54,    55.22,    44.78,  391
2021-2022,13,Brunswick County ,650,Brunswick High,Mathematics,EOC,SOL,               2,              85,              40,              87,             127,     1.57,    66.93,    31.50,    68.50,  409
2021-2022,13,Brunswick County ,650,Brunswick High,Science,EOC,SOL,               0,              61,              77,              61,             138,      .00,    44.20,    55.80,    44.20,  386
2021-2022,13,Brunswick County ,660,James S. Russell Middle,Mathematics,EOC,SOL,               0,              24,               5,              24,              29,      .00,    82.76,    17.24,    82.76,  419
2021-2022,14,Buchanan County ,1000,Council High ,English:Reading,EOC,SOL,               2,              13,               4,              15,              19,    10.53,    68.42,    21.05,    78.95,  435
2021-2022,14,Buchanan County ,1000,Council High ,English:Writing,EOC,SOL,<,<,<,<,              19,<,<,>50,<50,  398
2021-2022,14,Buchanan County ,1000,Council High ,History and Social Science,EOC,SOL,               1,              11,               6,              12,              18,     5.56,    61.11,    33.33,    66.67,  417
2021-2022,14,Buchanan County ,1000,Council High ,Mathematics,EOC,SOL,               3,              17,               0,              20,              20,    15.00,    85.00,      .00,100.00,  460
2021-2022,14,Buchanan County ,1000,Council High ,Science,EOC,SOL,               1,              19,              10,              20,              30,     3.33,    63.33,    33.33,    66.67,  421
2021-2022,14,Buchanan County ,990,Grundy High,English:Reading,EOC,SOL,              14,              58,              12,              72,              84,    16.67,    69.05,    14.29,    85.71,  446
2021-2022,14,Buchanan County ,990,Grundy High,English:Writing,EOC,SOL,              10,              47,              13,              57,              70,    14.29,    67.14,    18.57,    81.43,  444
2021-2022,14,Buchanan County ,990,Grundy High,History and Social Science,EOC,SOL,               1,              50,              55,              51,             106,      .94,    47.17,    51.89,    48.11,  389
2021-2022,14,Buchanan County ,990,Grundy High,Mathematics,EOC,SOL,               0,              86,              13,              86,              99,      .00,    86.87,    13.13,    86.87,  428
2021-2022,14,Buchanan County ,990,Grundy High,Science,EOC,SOL,               2,             117,              72,             119,             191,     1.05,    61.26,    37.70,    62.30,  402
2021-2022,14,Buchanan County ,1020,Hurley High,English:Reading,EOC,SOL,               7,              23,               0,              30,              30,    23.33,    76.67,      .00,100.00,  468
2021-2022,14,Buchanan County ,1020,Hurley High,English:Writing,EOC,SOL,               5,              21,               5,              26,              31,    16.13,    67.74,    16.13,    83.87,  450
2021-2022,14,Buchanan County ,1020,Hurley High,History and Social Science,EOC,SOL,               1,              29,              16,              30,              46,     2.17,    63.04,    34.78,    65.22,  415
2021-2022,14,Buchanan County ,1020,Hurley High,Mathematics,EOC,SOL,               1,              29,               6,              30,              36,     2.78,    80.56,    16.67,    83.33,  427
2021-2022,14,Buchanan County ,1020,Hurley High,Science,EOC,SOL,               2,              23,              23,              25,              48,     4.17,    47.92,    47.92,    52.08,  405
2021-2022,14,Buchanan County ,1040,Riverview Elementary/Middle,Mathematics,EOC,SOL,               0,              26,               0,              26,              26,      .00,   100.00,      .00,100.00,  438
