School Year,Division Number,Division Name,School Number,School Name,Subject,Test Level,Test Source,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2021-2022,128,Virginia Beach City ,740,Independence Middle,Science,EOC,SOL,              17,             131,               4,             148,             152,    11.18,    86.18,     2.63,    97.37,  446
2021-2022,128,Virginia Beach City ,620,Kempsville High,English:Reading,EOC,SOL,              95,             320,              50,             415,             465,    20.43,    68.82,    10.75,    89.25,  461
2021-2022,128,Virginia Beach City ,620,Kempsville High,English:Writing,EOC,SOL,              89,             281,             103,             370,             473,    18.82,    59.41,    21.78,    78.22,  447
2021-2022,128,Virginia Beach City ,620,Kempsville High,History and Social Science,EOC,SOL,              37,             355,             250,             392,             642,     5.76,    55.30,    38.94,    61.06,  415
2021-2022,128,Virginia Beach City ,620,Kempsville High,Mathematics,EOC,SOL,              15,             492,              84,             507,             591,     2.54,    83.25,    14.21,    85.79,  428
2021-2022,128,Virginia Beach City ,620,Kempsville High,Science,EOC,SOL,              16,             353,             149,             369,             518,     3.09,    68.15,    28.76,    71.24,  416
2021-2022,128,Virginia Beach City ,690,Kempsville Middle,Mathematics,EOC,SOL,              50,             127,               4,             177,             181,    27.62,    70.17,     2.21,    97.79,  468
2021-2022,128,Virginia Beach City ,690,Kempsville Middle,Science,EOC,SOL,               9,              92,               9,             101,             110,     8.18,    83.64,     8.18,    91.82,  449
2021-2022,128,Virginia Beach City ,1030,Landstown High,English:Reading,EOC,SOL,             157,             374,              55,             531,             586,    26.79,    63.82,     9.39,    90.61,  468
2021-2022,128,Virginia Beach City ,1030,Landstown High,English:Writing,EOC,SOL,             132,             355,             119,             487,             606,    21.78,    58.58,    19.64,    80.36,  452
2021-2022,128,Virginia Beach City ,1030,Landstown High,History and Social Science,EOC,SOL,              53,             399,             224,             452,             676,     7.84,    59.02,    33.14,    66.86,  422
2021-2022,128,Virginia Beach City ,1030,Landstown High,Mathematics,EOC,SOL,              51,             487,             101,             538,             639,     7.98,    76.21,    15.81,    84.19,  436
2021-2022,128,Virginia Beach City ,1030,Landstown High,Science,EOC,SOL,              48,             308,             111,             356,             467,    10.28,    65.95,    23.77,    76.23,  435
2021-2022,128,Virginia Beach City ,931,Landstown Middle,Mathematics,EOC,SOL,              59,             270,              11,             329,             340,    17.35,    79.41,     3.24,    96.76,  459
2021-2022,128,Virginia Beach City ,931,Landstown Middle,Science,EOC,SOL,              43,             150,               1,             193,             194,    22.16,    77.32,      .52,    99.48,  466
2021-2022,128,Virginia Beach City ,970,Larkspur Middle,Mathematics,EOC,SOL,              27,             232,              19,             259,             278,     9.71,    83.45,     6.83,    93.17,  443
2021-2022,128,Virginia Beach City ,970,Larkspur Middle,Science,EOC,SOL,              15,             147,              19,             162,             181,     8.29,    81.22,    10.50,    89.50,  434
2021-2022,128,Virginia Beach City ,730,Lynnhaven Middle,Mathematics,EOC,SOL,              24,             195,               6,             219,             225,    10.67,    86.67,     2.67,    97.33,  452
2021-2022,128,Virginia Beach City ,730,Lynnhaven Middle,Science,EOC,SOL,              13,             136,               6,             149,             155,     8.39,    87.74,     3.87,    96.13,  450
2021-2022,128,Virginia Beach City ,960,Ocean Lakes High,English:Reading,EOC,SOL,             197,             241,              29,             438,             467,    42.18,    51.61,     6.21,    93.79,  484
2021-2022,128,Virginia Beach City ,960,Ocean Lakes High,English:Writing,EOC,SOL,             164,             243,              65,             407,             472,    34.75,    51.48,    13.77,    86.23,  475
2021-2022,128,Virginia Beach City ,960,Ocean Lakes High,History and Social Science,EOC,SOL,              77,             372,             112,             449,             561,    13.73,    66.31,    19.96,    80.04,  439
2021-2022,128,Virginia Beach City ,960,Ocean Lakes High,Mathematics,EOC,SOL,              68,             396,              60,             464,             524,    12.98,    75.57,    11.45,    88.55,  444
2021-2022,128,Virginia Beach City ,960,Ocean Lakes High,Science,EOC,SOL,             109,             314,              98,             423,             521,    20.92,    60.27,    18.81,    81.19,  446
2021-2022,128,Virginia Beach City ,80,Old Donation School,Mathematics,EOC,SOL,             320,             203,               1,             523,             524,    61.07,    38.93,      .19,100.00,  514
2021-2022,128,Virginia Beach City ,80,Old Donation School,Science,EOC,SOL,             145,             117,               1,             262,             263,    55.13,    44.87,      .38,100.00,  503
2021-2022,128,Virginia Beach City ,640,Plaza Middle,Mathematics,EOC,SOL,              81,             203,               2,             284,             286,    28.32,    70.98,      .70,    99.30,  478
2021-2022,128,Virginia Beach City ,640,Plaza Middle,Science,EOC,SOL,              39,             119,               1,             158,             159,    24.53,    74.84,      .63,    99.37,  471
2021-2022,128,Virginia Beach City ,321,Princess Anne High,English:Reading,EOC,SOL,             187,             194,              15,             381,             396,    47.22,    48.99,     3.79,    96.21,  492
2021-2022,128,Virginia Beach City ,321,Princess Anne High,English:Writing,EOC,SOL,             181,             181,              40,             362,             402,    45.02,    45.02,     9.95,    90.05,  486
2021-2022,128,Virginia Beach City ,321,Princess Anne High,History and Social Science,EOC,SOL,              45,             325,             148,             370,             518,     8.69,    62.74,    28.57,    71.43,  427
2021-2022,128,Virginia Beach City ,321,Princess Anne High,Mathematics,EOC,SOL,              58,             349,              52,             407,             459,    12.64,    76.03,    11.33,    88.67,  444
2021-2022,128,Virginia Beach City ,321,Princess Anne High,Science,EOC,SOL,              73,             351,             105,             424,             529,    13.80,    66.35,    19.85,    80.15,  440
2021-2022,128,Virginia Beach City ,750,Princess Anne Middle,History and Social Science,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,128,Virginia Beach City ,750,Princess Anne Middle,Mathematics,EOC,SOL,             109,             303,              15,             412,             427,    25.53,    70.96,     3.51,    96.49,  467
