School Year,Division Number,Division Name,School Number,School Name,Subject,Gender,Test Level,Test Source,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2021-2022,43,Henrico County ,190,Highland Springs High,History and Social Science,F,EOC,SOL,               0,              69,             229,              69,             298,      .00,    23.15,    76.85,    23.15,  372
2021-2022,43,Henrico County ,190,Highland Springs High,History and Social Science,M,EOC,SOL,               4,              90,             235,              94,             329,     1.22,    27.36,    71.43,    28.57,  377
2021-2022,43,Henrico County ,190,Highland Springs High,Mathematics,F,EOC,SOL,               1,             182,             121,             183,             304,      .33,    59.87,    39.80,    60.20,  398
2021-2022,43,Henrico County ,190,Highland Springs High,Mathematics,M,EOC,SOL,               0,             187,             163,             187,             350,      .00,    53.43,    46.57,    53.43,  397
2021-2022,43,Henrico County ,190,Highland Springs High,Science,F,EOC,SOL,               1,             146,             164,             147,             311,      .32,    46.95,    52.73,    47.27,  392
2021-2022,43,Henrico County ,190,Highland Springs High,Science,M,EOC,SOL,              14,             133,             208,             147,             355,     3.94,    37.46,    58.59,    41.41,  391
2021-2022,43,Henrico County ,95,Holman Middle ,History and Social Science,F,EOC,SOL,              20,              54,               1,              74,              75,    26.67,    72.00,     1.33,    98.67,  475
2021-2022,43,Henrico County ,95,Holman Middle ,History and Social Science,M,EOC,SOL,              30,              41,               1,              71,              72,    41.67,    56.94,     1.39,    98.61,  498
2021-2022,43,Henrico County ,95,Holman Middle ,Mathematics,F,EOC,SOL,              33,              91,               1,             124,             125,    26.40,    72.80,      .80,    99.20,  471
2021-2022,43,Henrico County ,95,Holman Middle ,Mathematics,M,EOC,SOL,              32,             100,               0,             132,             132,    24.24,    75.76,      .00,100.00,  478
2021-2022,43,Henrico County ,95,Holman Middle ,Science,F,EOC,SOL,              12,              71,               1,              83,              84,    14.29,    84.52,     1.19,    98.81,  449
2021-2022,43,Henrico County ,95,Holman Middle ,Science,M,EOC,SOL,              13,              63,               3,              76,              79,    16.46,    79.75,     3.80,    96.20,  464
2021-2022,43,Henrico County ,100,Hungary Creek Middle ,History and Social Science,F,EOC,SOL,               7,              58,               9,              65,              74,     9.46,    78.38,    12.16,    87.84,  438
2021-2022,43,Henrico County ,100,Hungary Creek Middle ,History and Social Science,M,EOC,SOL,               5,              50,              13,              55,              68,     7.35,    73.53,    19.12,    80.88,  433
2021-2022,43,Henrico County ,100,Hungary Creek Middle ,Mathematics,F,EOC,SOL,               6,              85,               1,              91,              92,     6.52,    92.39,     1.09,    98.91,  448
2021-2022,43,Henrico County ,100,Hungary Creek Middle ,Mathematics,M,EOC,SOL,               2,              80,              11,              82,              93,     2.15,    86.02,    11.83,    88.17,  422
2021-2022,43,Henrico County ,100,Hungary Creek Middle ,Science,F,EOC,SOL,              16,              61,               3,              77,              80,    20.00,    76.25,     3.75,    96.25,  458
2021-2022,43,Henrico County ,100,Hungary Creek Middle ,Science,M,EOC,SOL,               1,              69,               3,              70,              73,     1.37,    94.52,     4.11,    95.89,  448
2021-2022,43,Henrico County ,600,John Randolph Tucker High,English:Reading,F,EOC,SOL,              49,             100,              25,             149,             174,    28.16,    57.47,    14.37,    85.63,  462
2021-2022,43,Henrico County ,600,John Randolph Tucker High,English:Reading,M,EOC,SOL,              42,             116,              29,             158,             187,    22.46,    62.03,    15.51,    84.49,  454
2021-2022,43,Henrico County ,600,John Randolph Tucker High,English:Writing,F,EOC,SOL,              83,              89,              89,             172,             261,    31.80,    34.10,    34.10,    65.90,  442
2021-2022,43,Henrico County ,600,John Randolph Tucker High,English:Writing,M,EOC,SOL,              40,              74,              95,             114,             209,    19.14,    35.41,    45.45,    54.55,  410
2021-2022,43,Henrico County ,600,John Randolph Tucker High,History and Social Science,F,EOC,SOL,               7,             113,              99,             120,             219,     3.20,    51.60,    45.21,    54.79,  407
2021-2022,43,Henrico County ,600,John Randolph Tucker High,History and Social Science,M,EOC,SOL,              25,             106,              91,             131,             222,    11.26,    47.75,    40.99,    59.01,  416
2021-2022,43,Henrico County ,600,John Randolph Tucker High,Mathematics,F,EOC,SOL,              16,             213,              86,             229,             315,     5.08,    67.62,    27.30,    72.70,  421
