School Year,Division Number,Division Name,School Number,School Name,Subject,Gender,Test Level,Test Source,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2021-2022,1,Accomack County ,540,Arcadia High,English:Reading,F,EOC,SOL,               8,              55,              13,              63,              76,    10.53,    72.37,    17.11,    82.89,  439
2021-2022,1,Accomack County ,540,Arcadia High,English:Reading,M,EOC,SOL,              13,              42,              26,              55,              81,    16.05,    51.85,    32.10,    67.90,  429
2021-2022,1,Accomack County ,540,Arcadia High,English:Writing,F,EOC,SOL,               9,              50,              19,              59,              78,    11.54,    64.10,    24.36,    75.64,  431
2021-2022,1,Accomack County ,540,Arcadia High,English:Writing,M,EOC,SOL,               5,              38,              39,              43,              82,     6.10,    46.34,    47.56,    52.44,  402
2021-2022,1,Accomack County ,540,Arcadia High,History and Social Science,F,EOC,SOL,               4,              48,              90,              52,             142,     2.82,    33.80,    63.38,    36.62,  392
2021-2022,1,Accomack County ,540,Arcadia High,History and Social Science,M,EOC,SOL,               3,              47,             104,              50,             154,     1.95,    30.52,    67.53,    32.47,  381
2021-2022,1,Accomack County ,540,Arcadia High,Mathematics,F,EOC,SOL,               6,              67,              22,              73,              95,     6.32,    70.53,    23.16,    76.84,  425
2021-2022,1,Accomack County ,540,Arcadia High,Mathematics,M,EOC,SOL,               0,              72,              29,              72,             101,      .00,    71.29,    28.71,    71.29,  412
2021-2022,1,Accomack County ,540,Arcadia High,Science,F,EOC,SOL,               6,              70,              31,              76,             107,     5.61,    65.42,    28.97,    71.03,  416
2021-2022,1,Accomack County ,540,Arcadia High,Science,M,EOC,SOL,               3,              50,              52,              53,             105,     2.86,    47.62,    49.52,    50.48,  400
2021-2022,1,Accomack County ,704,Arcadia Middle ,Mathematics,F,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  522
2021-2022,1,Accomack County ,704,Arcadia Middle ,Mathematics,M,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  524
2021-2022,1,Accomack County ,580,Chincoteague High,English:Reading,F,EOC,SOL,               6,              12,               2,              18,              20,    30.00,    60.00,    10.00,    90.00,  472
2021-2022,1,Accomack County ,580,Chincoteague High,English:Reading,M,EOC,SOL,               6,              10,               1,              16,              17,    35.29,    58.82,     5.88,    94.12,  466
2021-2022,1,Accomack County ,580,Chincoteague High,English:Writing,F,EOC,SOL,              10,               9,               3,              19,              22,    45.45,    40.91,    13.64,    86.36,  477
2021-2022,1,Accomack County ,580,Chincoteague High,English:Writing,M,EOC,SOL,               5,              12,               1,              17,              18,    27.78,    66.67,     5.56,    94.44,  459
2021-2022,1,Accomack County ,580,Chincoteague High,History and Social Science,F,EOC,SOL,               1,              12,              15,              13,              28,     3.57,    42.86,    53.57,    46.43,  405
2021-2022,1,Accomack County ,580,Chincoteague High,History and Social Science,M,EOC,SOL,               2,               8,              14,              10,              24,     8.33,    33.33,    58.33,    41.67,  400
2021-2022,1,Accomack County ,580,Chincoteague High,Mathematics,F,EOC,SOL,               2,              18,               1,              20,              21,     9.52,    85.71,     4.76,    95.24,  458
2021-2022,1,Accomack County ,580,Chincoteague High,Mathematics,M,EOC,SOL,               5,              16,               2,              21,              23,    21.74,    69.57,     8.70,    91.30,  457
2021-2022,1,Accomack County ,580,Chincoteague High,Science,F,EOC,SOL,               1,              19,               4,              20,              24,     4.17,    79.17,    16.67,    83.33,  437
2021-2022,1,Accomack County ,580,Chincoteague High,Science,M,EOC,SOL,               2,              17,               3,              19,              22,     9.09,    77.27,    13.64,    86.36,  443
2021-2022,1,Accomack County ,70,Nandua High,English:Reading,F,EOC,SOL,               9,              48,               5,              57,              62,    14.52,    77.42,     8.06,    91.94,  453
2021-2022,1,Accomack County ,70,Nandua High,English:Reading,M,EOC,SOL,              16,              56,              15,              72,              87,    18.39,    64.37,    17.24,    82.76,  443
2021-2022,1,Accomack County ,70,Nandua High,English:Writing,F,EOC,SOL,              11,              42,              15,              53,              68,    16.18,    61.76,    22.06,    77.94,  438
2021-2022,1,Accomack County ,70,Nandua High,English:Writing,M,EOC,SOL,              11,              49,              32,              60,              92,    11.96,    53.26,    34.78,    65.22,  415
2021-2022,1,Accomack County ,70,Nandua High,History and Social Science,F,EOC,SOL,               3,              55,              70,              58,             128,     2.34,    42.97,    54.69,    45.31,  391
2021-2022,1,Accomack County ,70,Nandua High,History and Social Science,M,EOC,SOL,               3,              47,              69,              50,             119,     2.52,    39.50,    57.98,    42.02,  389
2021-2022,1,Accomack County ,70,Nandua High,Mathematics,F,EOC,SOL,               5,              81,               7,              86,              93,     5.38,    87.10,     7.53,    92.47,  440
2021-2022,1,Accomack County ,70,Nandua High,Mathematics,M,EOC,SOL,               3,              70,               9,              73,              82,     3.66,    85.37,    10.98,    89.02,  436
2021-2022,1,Accomack County ,70,Nandua High,Science,F,EOC,SOL,               4,              47,              18,              51,              69,     5.80,    68.12,    26.09,    73.91,  425
2021-2022,1,Accomack County ,70,Nandua High,Science,M,EOC,SOL,              12,              57,              22,              69,              91,    13.19,    62.64,    24.18,    75.82,  432
2021-2022,1,Accomack County ,703,Nandua Middle,Mathematics,F,EOC,SOL,               3,               7,               0,              10,              10,    30.00,    70.00,      .00,100.00,  471
2021-2022,1,Accomack County ,703,Nandua Middle,Mathematics,M,EOC,SOL,               5,               5,               0,              10,              10,    50.00,    50.00,      .00,100.00,  490
2021-2022,1,Accomack County ,530,Tangier Combined,English:Reading,F,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,English:Reading,M,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,English:Writing,F,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,English:Writing,M,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,History and Social Science,F,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,History and Social Science,M,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,1,Accomack County ,530,Tangier Combined,Mathematics,F,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,1,Accomack County ,530,Tangier Combined,Science,F,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,1,Accomack County ,530,Tangier Combined,Science,M,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,2,Albemarle County ,880,Albemarle High,English:Reading,F,EOC,SOL,              89,             117,              40,             206,             246,    36.18,    47.56,    16.26,    83.74,  467
2021-2022,2,Albemarle County ,880,Albemarle High,English:Reading,M,EOC,SOL,              63,             120,              55,             183,             238,    26.47,    50.42,    23.11,    76.89,  450
2021-2022,2,Albemarle County ,880,Albemarle High,English:Writing,M,EOC,SOL,<,<,<,<,<,<,<,>50,<50,  382
2021-2022,2,Albemarle County ,880,Albemarle High,History and Social Science,F,EOC,SOL,              38,             145,             117,             183,             300,    12.67,    48.33,    39.00,    61.00,  418
2021-2022,2,Albemarle County ,880,Albemarle High,History and Social Science,M,EOC,SOL,              38,             167,             122,             205,             327,    11.62,    51.07,    37.31,    62.69,  421
2021-2022,2,Albemarle County ,880,Albemarle High,Mathematics,F,EOC,SOL,              19,             156,              96,             175,             271,     7.01,    57.56,    35.42,    64.58,  419
2021-2022,2,Albemarle County ,880,Albemarle High,Mathematics,M,EOC,SOL,              21,             173,              83,             194,             277,     7.58,    62.45,    29.96,    70.04,  421
2021-2022,2,Albemarle County ,880,Albemarle High,Science,F,EOC,SOL,              28,             211,             135,             239,             374,     7.49,    56.42,    36.10,    63.90,  418
2021-2022,2,Albemarle County ,880,Albemarle High,Science,M,EOC,SOL,              28,             185,             160,             213,             373,     7.51,    49.60,    42.90,    57.10,  409
2021-2022,2,Albemarle County ,890,Community Lab School,English:Reading,F,EOC,SOL,               1,              15,               0,              16,              16,     6.25,    93.75,      .00,100.00,  471
2021-2022,2,Albemarle County ,890,Community Lab School,English:Reading,M,EOC,SOL,               4,               7,               1,              11,              12,    33.33,    58.33,     8.33,    91.67,  467
2021-2022,2,Albemarle County ,890,Community Lab School,English:Writing,M,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,2,Albemarle County ,890,Community Lab School,History and Social Science,F,EOC,SOL,               0,              15,              10,              15,              25,      .00,    60.00,    40.00,    60.00,  405
2021-2022,2,Albemarle County ,890,Community Lab School,History and Social Science,M,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  419
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,F,EOC,SOL,               0,              27,              10,              27,              37,      .00,    72.97,    27.03,    72.97,  405
2021-2022,2,Albemarle County ,890,Community Lab School,Mathematics,M,EOC,SOL,               1,              18,               7,              19,              26,     3.85,    69.23,    26.92,    73.08,  423
2021-2022,2,Albemarle County ,890,Community Lab School,Science,F,EOC,SOL,               3,              29,               6,              32,              38,     7.89,    76.32,    15.79,    84.21,  425
2021-2022,2,Albemarle County ,890,Community Lab School,Science,M,EOC,SOL,               5,               9,               1,              14,              15,    33.33,    60.00,     6.67,    93.33,  455
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,F,EOC,SOL,              15,              62,               8,              77,              85,    17.65,    72.94,     9.41,    90.59,  445
2021-2022,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,M,EOC,SOL,              17,              71,               6,              88,              94,    18.09,    75.53,     6.38,    93.62,  449
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,F,EOC,SOL,              36,              48,               4,              84,              88,    40.91,    54.55,     4.55,    95.45,  483
2021-2022,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,M,EOC,SOL,              34,              48,               5,              82,              87,    39.08,    55.17,     5.75,    94.25,  485
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,F,EOC,SOL,              25,             107,               6,             132,             138,    18.12,    77.54,     4.35,    95.65,  461
2021-2022,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,M,EOC,SOL,              29,             106,               9,             135,             144,    20.14,    73.61,     6.25,    93.75,  462
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,F,EOC,SOL,              20,              94,               6,             114,             120,    16.67,    78.33,     5.00,    95.00,  456
2021-2022,2,Albemarle County ,1051,Lakeside Middle,Mathematics,M,EOC,SOL,              21,              67,               1,              88,              89,    23.60,    75.28,     1.12,    98.88,  469
2021-2022,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,F,EOC,SOL,               6,              37,               4,              43,              47,    12.77,    78.72,     8.51,    91.49,  442
2021-2022,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,M,EOC,SOL,              11,              33,               8,              44,              52,    21.15,    63.46,    15.38,    84.62,  428
2021-2022,2,Albemarle County ,1052,Monticello High,English:Reading,F,EOC,SOL,              59,              99,              13,             158,             171,    34.50,    57.89,     7.60,    92.40,  477
2021-2022,2,Albemarle County ,1052,Monticello High,English:Reading,M,EOC,SOL,              32,             103,              32,             135,             167,    19.16,    61.68,    19.16,    80.84,  442
2021-2022,2,Albemarle County ,1052,Monticello High,History and Social Science,F,EOC,SOL,               6,              94,              64,             100,             164,     3.66,    57.32,    39.02,    60.98,  411
2021-2022,2,Albemarle County ,1052,Monticello High,History and Social Science,M,EOC,SOL,               6,             108,              53,             114,             167,     3.59,    64.67,    31.74,    68.26,  415
2021-2022,2,Albemarle County ,1052,Monticello High,Mathematics,F,EOC,SOL,               4,             108,              61,             112,             173,     2.31,    62.43,    35.26,    64.74,  411
2021-2022,2,Albemarle County ,1052,Monticello High,Mathematics,M,EOC,SOL,               8,             105,              66,             113,             179,     4.47,    58.66,    36.87,    63.13,  410
2021-2022,2,Albemarle County ,1052,Monticello High,Science,F,EOC,SOL,              10,             116,              91,             126,             217,     4.61,    53.46,    41.94,    58.06,  405
2021-2022,2,Albemarle County ,1052,Monticello High,Science,M,EOC,SOL,              10,             129,             100,             139,             239,     4.18,    53.97,    41.84,    58.16,  409
2021-2022,2,Albemarle County ,140,Western Albemarle High,English:Reading,F,EOC,SOL,              66,              63,               5,             129,             134,    49.25,    47.01,     3.73,    96.27,  496
2021-2022,2,Albemarle County ,140,Western Albemarle High,English:Reading,M,EOC,SOL,              75,              85,               6,             160,             166,    45.18,    51.20,     3.61,    96.39,  490
2021-2022,2,Albemarle County ,140,Western Albemarle High,English:Writing,F,EOC,SOL,              10,              11,               3,              21,              24,    41.67,    45.83,    12.50,    87.50,  481
2021-2022,2,Albemarle County ,140,Western Albemarle High,English:Writing,M,EOC,SOL,              11,              12,               7,              23,              30,    36.67,    40.00,    23.33,    76.67,  457
2021-2022,2,Albemarle County ,140,Western Albemarle High,History and Social Science,F,EOC,SOL,              15,             111,              39,             126,             165,     9.09,    67.27,    23.64,    76.36,  431
2021-2022,2,Albemarle County ,140,Western Albemarle High,History and Social Science,M,EOC,SOL,              22,             104,              39,             126,             165,    13.33,    63.03,    23.64,    76.36,  436
2021-2022,2,Albemarle County ,140,Western Albemarle High,Mathematics,F,EOC,SOL,              12,             120,              38,             132,             170,     7.06,    70.59,    22.35,    77.65,  422
2021-2022,2,Albemarle County ,140,Western Albemarle High,Mathematics,M,EOC,SOL,               4,             119,              55,             123,             178,     2.25,    66.85,    30.90,    69.10,  419
2021-2022,2,Albemarle County ,140,Western Albemarle High,Science,F,EOC,SOL,              38,             137,              33,             175,             208,    18.27,    65.87,    15.87,    84.13,  442
2021-2022,2,Albemarle County ,140,Western Albemarle High,Science,M,EOC,SOL,              37,             157,              44,             194,             238,    15.55,    65.97,    18.49,    81.51,  442
2021-2022,101,Alexandria City ,210,Alexandria City High,English:Reading,F,EOC,SOL,             136,             246,             166,             382,             548,    24.82,    44.89,    30.29,    69.71,  441
2021-2022,101,Alexandria City ,210,Alexandria City High,English:Reading,M,EOC,SOL,             101,             264,             182,             365,             547,    18.46,    48.26,    33.27,    66.73,  431
2021-2022,101,Alexandria City ,210,Alexandria City High,English:Writing,F,EOC,SOL,             104,             178,             106,             282,             388,    26.80,    45.88,    27.32,    72.68,  445
2021-2022,101,Alexandria City ,210,Alexandria City High,English:Writing,M,EOC,SOL,              84,             203,             157,             287,             444,    18.92,    45.72,    35.36,    64.64,  428
2021-2022,101,Alexandria City ,210,Alexandria City High,History and Social Science,F,EOC,SOL,              18,             272,             408,             290,             698,     2.58,    38.97,    58.45,    41.55,  393
2021-2022,101,Alexandria City ,210,Alexandria City High,History and Social Science,M,EOC,SOL,              29,             314,             467,             343,             810,     3.58,    38.77,    57.65,    42.35,  394
2021-2022,101,Alexandria City ,210,Alexandria City High,Mathematics,F,EOC,SOL,              14,             313,             331,             327,             658,     2.13,    47.57,    50.30,    49.70,  400
2021-2022,101,Alexandria City ,210,Alexandria City High,Mathematics,M,EOC,SOL,               6,             327,             445,             333,             778,      .77,    42.03,    57.20,    42.80,  394
2021-2022,101,Alexandria City ,210,Alexandria City High,Science,F,EOC,SOL,              50,             306,             325,             356,             681,     7.34,    44.93,    47.72,    52.28,  408
2021-2022,101,Alexandria City ,210,Alexandria City High,Science,M,EOC,SOL,              52,             321,             431,             373,             804,     6.47,    39.93,    53.61,    46.39,  402
2021-2022,101,Alexandria City ,140,Francis C. Hammond Middle,Mathematics,F,EOC,SOL,              14,             140,             121,             154,             275,     5.09,    50.91,    44.00,    56.00,  408
2021-2022,101,Alexandria City ,140,Francis C. Hammond Middle,Mathematics,M,EOC,SOL,               8,             142,             132,             150,             282,     2.84,    50.35,    46.81,    53.19,  404
2021-2022,101,Alexandria City ,130,George Washington Middle,Mathematics,F,EOC,SOL,              23,             199,              92,             222,             314,     7.32,    63.38,    29.30,    70.70,  425
2021-2022,101,Alexandria City ,130,George Washington Middle,Mathematics,M,EOC,SOL,              36,             175,             113,             211,             324,    11.11,    54.01,    34.88,    65.12,  424
2021-2022,101,Alexandria City ,90,Jefferson-Houston PK-8 School,Mathematics,F,EOC,SOL,               0,              14,              19,              14,              33,      .00,    42.42,    57.58,    42.42,  392
2021-2022,101,Alexandria City ,90,Jefferson-Houston PK-8 School,Mathematics,M,EOC,SOL,               1,              13,              26,              14,              40,     2.50,    32.50,    65.00,    35.00,  391
2021-2022,101,Alexandria City ,50,Patrick Henry K-8 School,Mathematics,F,EOC,SOL,               0,              19,              11,              19,              30,      .00,    63.33,    36.67,    63.33,  415
2021-2022,101,Alexandria City ,50,Patrick Henry K-8 School,Mathematics,M,EOC,SOL,               0,              24,              11,              24,              35,      .00,    68.57,    31.43,    68.57,  414
2021-2022,3,Alleghany County ,310,Alleghany High,English:Reading,F,EOC,SOL,              10,              54,              12,              64,              76,    13.16,    71.05,    15.79,    84.21,  441
2021-2022,3,Alleghany County ,310,Alleghany High,English:Reading,M,EOC,SOL,              21,              50,              20,              71,              91,    23.08,    54.95,    21.98,    78.02,  443
2021-2022,3,Alleghany County ,310,Alleghany High,English:Writing,F,EOC,SOL,               7,              30,              23,              37,              60,    11.67,    50.00,    38.33,    61.67,  412
2021-2022,3,Alleghany County ,310,Alleghany High,English:Writing,M,EOC,SOL,               6,              35,              50,              41,              91,     6.59,    38.46,    54.95,    45.05,  393
2021-2022,3,Alleghany County ,310,Alleghany High,History and Social Science,F,EOC,SOL,               0,              33,              56,              33,              89,      .00,    37.08,    62.92,    37.08,  385
2021-2022,3,Alleghany County ,310,Alleghany High,History and Social Science,M,EOC,SOL,               7,              67,              52,              74,             126,     5.56,    53.17,    41.27,    58.73,  403
2021-2022,3,Alleghany County ,310,Alleghany High,Mathematics,F,EOC,SOL,               0,              47,              15,              47,              62,      .00,    75.81,    24.19,    75.81,  422
2021-2022,3,Alleghany County ,310,Alleghany High,Mathematics,M,EOC,SOL,               1,              78,              17,              79,              96,     1.04,    81.25,    17.71,    82.29,  421
2021-2022,3,Alleghany County ,310,Alleghany High,Science,F,EOC,SOL,               2,              37,              38,              39,              77,     2.60,    48.05,    49.35,    50.65,  401
2021-2022,3,Alleghany County ,310,Alleghany High,Science,M,EOC,SOL,              10,              53,              53,              63,             116,     8.62,    45.69,    45.69,    54.31,  406
2021-2022,3,Alleghany County ,1040,Clifton Middle,Mathematics,F,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  454
2021-2022,3,Alleghany County ,1040,Clifton Middle,Mathematics,M,EOC,SOL,               1,              11,               1,              12,              13,     7.69,    84.62,     7.69,    92.31,  454
2021-2022,4,Amelia County ,10,Amelia County High,English:Reading,F,EOC,SOL,              10,              44,              17,              54,              71,    14.08,    61.97,    23.94,    76.06,  434
2021-2022,4,Amelia County ,10,Amelia County High,English:Reading,M,EOC,SOL,              10,              40,              15,              50,              65,    15.38,    61.54,    23.08,    76.92,  439
2021-2022,4,Amelia County ,10,Amelia County High,English:Writing,M,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,4,Amelia County ,10,Amelia County High,History and Social Science,F,EOC,SOL,               4,              35,              50,              39,              89,     4.49,    39.33,    56.18,    43.82,  393
2021-2022,4,Amelia County ,10,Amelia County High,History and Social Science,M,EOC,SOL,               4,              46,              32,              50,              82,     4.88,    56.10,    39.02,    60.98,  406
2021-2022,4,Amelia County ,10,Amelia County High,Mathematics,F,EOC,SOL,               0,              61,              20,              61,              81,      .00,    75.31,    24.69,    75.31,  405
2021-2022,4,Amelia County ,10,Amelia County High,Mathematics,M,EOC,SOL,               0,              54,              18,              54,              72,      .00,    75.00,    25.00,    75.00,  406
2021-2022,4,Amelia County ,10,Amelia County High,Science,F,EOC,SOL,               3,              74,              53,              77,             130,     2.31,    56.92,    40.77,    59.23,  400
2021-2022,4,Amelia County ,10,Amelia County High,Science,M,EOC,SOL,               5,              83,              54,              88,             142,     3.52,    58.45,    38.03,    61.97,  404
2021-2022,4,Amelia County ,210,Amelia County Middle,Mathematics,F,EOC,SOL,               2,              23,               4,              25,              29,     6.90,    79.31,    13.79,    86.21,  442
2021-2022,4,Amelia County ,210,Amelia County Middle,Mathematics,M,EOC,SOL,               1,              25,               0,              26,              26,     3.85,    96.15,      .00,100.00,  452
2021-2022,5,Amherst County ,750,Amherst County High,English:Reading,F,EOC,SOL,              30,              92,              18,             122,             140,    21.43,    65.71,    12.86,    87.14,  454
2021-2022,5,Amherst County ,750,Amherst County High,English:Reading,M,EOC,SOL,              31,             104,              23,             135,             158,    19.62,    65.82,    14.56,    85.44,  449
2021-2022,5,Amherst County ,750,Amherst County High,English:Writing,F,EOC,SOL,              35,              74,              26,             109,             135,    25.93,    54.81,    19.26,    80.74,  454
2021-2022,5,Amherst County ,750,Amherst County High,English:Writing,M,EOC,SOL,              22,              82,              53,             104,             157,    14.01,    52.23,    33.76,    66.24,  428
2021-2022,5,Amherst County ,750,Amherst County High,History and Social Science,F,EOC,SOL,               0,              13,              42,              13,              55,      .00,    23.64,    76.36,    23.64,  375
2021-2022,5,Amherst County ,750,Amherst County High,History and Social Science,M,EOC,SOL,               0,              20,              45,              20,              65,      .00,    30.77,    69.23,    30.77,  380
2021-2022,5,Amherst County ,750,Amherst County High,Mathematics,F,EOC,SOL,               0,             114,              53,             114,             167,      .00,    68.26,    31.74,    68.26,  412
2021-2022,5,Amherst County ,750,Amherst County High,Mathematics,M,EOC,SOL,               2,             115,              66,             117,             183,     1.09,    62.84,    36.07,    63.93,  409
2021-2022,5,Amherst County ,750,Amherst County High,Science,F,EOC,SOL,               6,              89,              56,              95,             151,     3.97,    58.94,    37.09,    62.91,  416
2021-2022,5,Amherst County ,750,Amherst County High,Science,M,EOC,SOL,               6,              80,              79,              86,             165,     3.64,    48.48,    47.88,    52.12,  408
2021-2022,5,Amherst County ,670,Amherst Middle,History and Social Science,F,EOC,SOL,               5,              43,              22,              48,              70,     7.14,    61.43,    31.43,    68.57,  422
2021-2022,5,Amherst County ,670,Amherst Middle,History and Social Science,M,EOC,SOL,               5,              38,              14,              43,              57,     8.77,    66.67,    24.56,    75.44,  426
2021-2022,5,Amherst County ,670,Amherst Middle,Mathematics,F,EOC,SOL,               4,              23,               2,              27,              29,    13.79,    79.31,     6.90,    93.10,  455
2021-2022,5,Amherst County ,670,Amherst Middle,Mathematics,M,EOC,SOL,               3,              15,               1,              18,              19,    15.79,    78.95,     5.26,    94.74,  457
2021-2022,5,Amherst County ,670,Amherst Middle,Science,F,EOC,SOL,               3,              50,              17,              53,              70,     4.29,    71.43,    24.29,    75.71,  426
2021-2022,5,Amherst County ,670,Amherst Middle,Science,M,EOC,SOL,               5,              41,              10,              46,              56,     8.93,    73.21,    17.86,    82.14,  440
2021-2022,5,Amherst County ,20,Monelison Middle,History and Social Science,F,EOC,SOL,               1,              29,              49,              30,              79,     1.27,    36.71,    62.03,    37.97,  385
2021-2022,5,Amherst County ,20,Monelison Middle,History and Social Science,M,EOC,SOL,               3,              47,              57,              50,             107,     2.80,    43.93,    53.27,    46.73,  395
2021-2022,5,Amherst County ,20,Monelison Middle,Mathematics,F,EOC,SOL,               0,              19,              11,              19,              30,      .00,    63.33,    36.67,    63.33,  406
2021-2022,5,Amherst County ,20,Monelison Middle,Mathematics,M,EOC,SOL,               2,              24,              13,              26,              39,     5.13,    61.54,    33.33,    66.67,  412
2021-2022,5,Amherst County ,20,Monelison Middle,Science,F,EOC,SOL,               0,              36,              41,              36,              77,      .00,    46.75,    53.25,    46.75,  396
2021-2022,5,Amherst County ,20,Monelison Middle,Science,M,EOC,SOL,               3,              46,              57,              49,             106,     2.83,    43.40,    53.77,    46.23,  398
2021-2022,6,Appomattox County ,260,Appomattox County High,English:Reading,F,EOC,SOL,              15,              51,               4,              66,              70,    21.43,    72.86,     5.71,    94.29,  463
2021-2022,6,Appomattox County ,260,Appomattox County High,English:Reading,M,EOC,SOL,              17,              48,               9,              65,              74,    22.97,    64.86,    12.16,    87.84,  452
2021-2022,6,Appomattox County ,260,Appomattox County High,English:Writing,F,EOC,SOL,               6,              49,              12,              55,              67,     8.96,    73.13,    17.91,    82.09,  446
2021-2022,6,Appomattox County ,260,Appomattox County High,English:Writing,M,EOC,SOL,               7,              46,              18,              53,              71,     9.86,    64.79,    25.35,    74.65,  431
2021-2022,6,Appomattox County ,260,Appomattox County High,History and Social Science,F,EOC,SOL,               4,              63,              44,              67,             111,     3.60,    56.76,    39.64,    60.36,  411
2021-2022,6,Appomattox County ,260,Appomattox County High,History and Social Science,M,EOC,SOL,               7,              58,              34,              65,              99,     7.07,    58.59,    34.34,    65.66,  416
2021-2022,6,Appomattox County ,260,Appomattox County High,Mathematics,F,EOC,SOL,               1,              84,              22,              85,             107,      .93,    78.50,    20.56,    79.44,  426
2021-2022,6,Appomattox County ,260,Appomattox County High,Mathematics,M,EOC,SOL,               0,              74,              22,              74,              96,      .00,    77.08,    22.92,    77.08,  419
2021-2022,6,Appomattox County ,260,Appomattox County High,Science,F,EOC,SOL,               5,              67,              24,              72,              96,     5.21,    69.79,    25.00,    75.00,  423
2021-2022,6,Appomattox County ,260,Appomattox County High,Science,M,EOC,SOL,               3,              59,              21,              62,              83,     3.61,    71.08,    25.30,    74.70,  421
2021-2022,6,Appomattox County ,160,Appomattox Middle,Mathematics,F,EOC,SOL,               7,              11,               0,              18,              18,    38.89,    61.11,      .00,100.00,  486
2021-2022,6,Appomattox County ,160,Appomattox Middle,Mathematics,M,EOC,SOL,               8,               9,               0,              17,              17,    47.06,    52.94,      .00,100.00,  496
2021-2022,7,Arlington County ,618,Arlington Community High,English:Reading,F,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  453
2021-2022,7,Arlington County ,618,Arlington Community High,English:Reading,M,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  431
2021-2022,7,Arlington County ,618,Arlington Community High,English:Writing,F,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  447
2021-2022,7,Arlington County ,618,Arlington Community High,English:Writing,M,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  416
2021-2022,7,Arlington County ,618,Arlington Community High,History and Social Science,F,EOC,SOL,<,<,<,<,<,<,<,<50,>50,
2021-2022,7,Arlington County ,618,Arlington Community High,History and Social Science,M,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  414
2021-2022,7,Arlington County ,618,Arlington Community High,Mathematics,F,EOC,SOL,<,<,<,<,<,<,<,>50,<50,
2021-2022,7,Arlington County ,618,Arlington Community High,Mathematics,M,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  415
2021-2022,7,Arlington County ,618,Arlington Community High,Science,F,EOC,SOL,<,<,<,<,<,<,<,<50,>50,  427
2021-2022,7,Arlington County ,618,Arlington Community High,Science,M,EOC,SOL,<,<,<,<,<,<,<,>50,<50,  388
2021-2022,7,Arlington County ,628,Dorothy Hamm Middle,History and Social Science,F,EOC,SOL,              15,             117,              21,             132,             153,     9.80,    76.47,    13.73,    86.27,  440
2021-2022,7,Arlington County ,628,Dorothy Hamm Middle,History and Social Science,M,EOC,SOL,              20,             108,              24,             128,             152,    13.16,    71.05,    15.79,    84.21,  445
2021-2022,7,Arlington County ,628,Dorothy Hamm Middle,Mathematics,F,EOC,SOL,              30,              61,               5,              91,              96,    31.25,    63.54,     5.21,    94.79,  476
2021-2022,7,Arlington County ,628,Dorothy Hamm Middle,Mathematics,M,EOC,SOL,              51,              60,               1,             111,             112,    45.54,    53.57,      .89,    99.11,  495
2021-2022,7,Arlington County ,611,Gunston Middle,History and Social Science,F,EOC,SOL,               6,             126,              66,             132,             198,     3.03,    63.64,    33.33,    66.67,  407
2021-2022,7,Arlington County ,611,Gunston Middle,History and Social Science,M,EOC,SOL,              13,             116,              59,             129,             188,     6.91,    61.70,    31.38,    68.62,  416
